# n=128, modulus d=4, coefficients d=9
# Frobenius number = 799993569, Frobenius root = 8245, Apery max = 800003440
coefficients = [9871, 100000003, 100000019, 100000073, 100000123, 100000183, 100000207, 100000237, 100000267, 100000271, 
                100000297, 100000333, 100000361, 100000369, 100000409, 100000417, 100000441, 100000471, 100000487, 100000501, 
                100000513, 100000519, 100000537, 100000567, 100000589, 100000601, 100000619, 100000633, 100000661, 100000687, 
                100000693, 100000709, 100000723, 100000741, 100000751, 100000777, 100000787, 100000811, 100000831, 100000837, 
                100000849, 100000861, 100000879, 100000883, 100000891, 100000899, 100000933, 100000939, 100000951, 100000957, 
                100000961, 100000973, 100000987, 100001009, 100001021, 100001027, 100001041, 100001059, 100001069, 100001077, 
                100001087, 100001113, 100001123, 100001129, 100001147, 100001159, 100001171, 100001183, 100001189, 100001203, 
                100001209, 100001219, 100001231, 100001237, 100001249, 100001263, 100001267, 100001273, 100001281, 100001287, 
                100001297, 100001309, 100001311, 100001321, 100001327, 100001333, 100001339, 100001351, 100001363, 100001369, 
                100001387, 100001393, 100001407, 100001417, 100001423, 100001429, 100001441, 100001443, 100001453, 100001459, 
                100001467, 100001473, 100001477, 100001489, 100001497, 100001503, 100001509, 100001519, 100001527, 100001539, 
                100001543, 100001549, 100001567, 100001573, 100001579, 100001589, 100001591, 100001597, 100001603, 100001609, 
                100001701, 100001711, 100001723, 100001731, 100001737, 100001741, 100001749, 100001753,  ]


Residues, Apery set, Zeros
0, 0, 0
1, 400002534, 399992663
2, 700001967, 699992096
3, 400002536, 399992665
4, 700001969, 699992098
5, 400002538, 399992667
6, 700001971, 699992100
7, 400002540, 399992669
8, 700001973, 699992102
9, 400002542, 399992671
10, 700001975, 699992104
11, 400002544, 399992673
12, 700001977, 699992106
13, 400002546, 399992675
14, 700001979, 699992108
15, 400002548, 399992677
16, 700001981, 699992110
17, 400002550, 399992679
18, 700001983, 699992112
19, 400002552, 399992681
20, 700001985, 699992114
21, 400002554, 399992683
22, 700001987, 699992116
23, 400002556, 399992685
24, 700001989, 699992118
25, 400002558, 399992687
26, 700001991, 699992120
27, 400002560, 399992689
28, 700001993, 699992122
29, 400002562, 399992691
30, 700001995, 699992124
31, 400002564, 399992693
32, 700001997, 699992126
33, 400002566, 399992695
34, 700001999, 699992128
35, 400002568, 399992697
36, 700002001, 699992130
37, 400002570, 399992699
38, 700002003, 699992132
39, 400002572, 399992701
40, 700002005, 699992134
41, 400002574, 399992703
42, 700002007, 699992136
43, 400002576, 399992705
44, 700002009, 699992138
45, 400002578, 399992707
46, 700002011, 699992140
47, 400002580, 399992709
48, 700002013, 699992142
49, 400002582, 399992711
50, 700002015, 699992144
51, 400002584, 399992713
52, 700002017, 699992146
53, 400002586, 399992715
54, 700002019, 699992148
55, 400002588, 399992717
56, 700002021, 699992150
57, 400002590, 399992719
58, 700002023, 699992152
59, 400002592, 399992721
60, 700002025, 699992154
61, 400002594, 399992723
