# n=20, modulus d=3, coefficients d=6
# Frobenius number = 1179256, Frobenius root = 802, Apery max = 1180253
coefficients = [997, 100003, 123456, 135791, 159243, 200000, 222222, 250001, 300007, 333333, 350001, 400004, 444444, 500001, 555555, 600002, 666666, 700001, 777777, 800008]


Residues, Apery set, Zeros
0, 0, 0
1, 471582, 470585
2, 658022, 657025
3, 904282, 903285
4, 922229, 921232
5, 735791, 734794
6, 865402, 864405
7, 471588, 470591
8, 839482, 838485
9, 735795, 734798
10, 696913, 695916
11, 735797, 734800
12, 653047, 652050
13, 696916, 695919
14, 922239, 921242
15, 735801, 734804
16, 696919, 695922
17, 735803, 734806
18, 839492, 838495
19, 735805, 734808
20, 860431, 859434
21, 735807, 734810
22, 445681, 444684
23, 735809, 734812
24, 938201, 937204
25, 691943, 690946
26, 259246, 258249
27, 259247, 258250
28, 730829, 729832
29, 917269, 916272
30, 995036, 994039
31, 523456, 522459
32, 653067, 652070
33, 730834, 729837
34, 730835, 729838
35, 523460, 522463
36, 956159, 955162
37, 523462, 522465
38, 891356, 890359
39, 704918, 703921
40, 956163, 955166
41, 523466, 522469
42, 704921, 703924
43, 523468, 522471
44, 891362, 890365
45, 930246, 929249
46, 518486, 517489
47, 917287, 916290
48, 704927, 703930
49, 704928, 703931
50, 995056, 994059
51, 951189, 950192
52, 518492, 517495
53, 518493, 517496
54, 350001, 349004
55, 782700, 781703
56, 782701, 781704
57, 350004, 349007
58, 492576, 491579
59, 912314, 911317
60, 990081, 989084
61, 782706, 781709
62, 782707, 781710
63, 743825, 742828
64, 782709, 781712
65, 964164, 963167
66, 964165, 963168
67, 782712, 781715
68, 782713, 781716
69, 756792, 755795
70, 782715, 781718
71, 938248, 937251
72, 777732, 776735
73, 756796, 755799
74, 816617, 815620
75, 756798, 755801
76, 777736, 776739
77, 609244, 608247
78, 777738, 776741
79, 777739, 776742
80, 609247, 608250
81, 609248, 608251
82, 1041947, 1040950
83, 609250, 608253
84, 570368, 569371
85, 544447, 543450
86, 873458, 872461
87, 873459, 872462
88, 772763, 771766
89, 583334, 582337
90, 358013, 357016
91, 829595, 828598
92, 873464, 872467
93, 1016036, 1015039
94, 622222, 621225
95, 751833, 750836
96, 964195, 963198
97, 829601, 828604
98, 622226, 621229
99, 565398, 564401
100, 622228, 621231
101, 990122, 989125
102, 643167, 642170
103, 868490, 867493
104, 622232, 621235
105, 435794, 434797
106, 622234, 621237
107, 700001, 699004
108, 700002, 699005
109, 435798, 434801
110, 829614, 828617
111, 435800, 434803
112, 803694, 802697
113, 700007, 699010
114, 700008, 699011
115, 700009, 699012
116, 617259, 616262
117, 617260, 616263
118, 881466, 880469
119, 700013, 699016
120, 881468, 880471
121, 430825, 429828
122, 803704, 802707
123, 700017, 699020
124, 881472, 880475
125, 695034, 694037
126, 824645, 823648
127, 700021, 699024
128, 902413, 901416
129, 695038, 694041
130, 656156, 655159
131, 223459, 222462
132, 695041, 694044
133, 881481, 880484
134, 876497, 875500
135, 695044, 694047
136, 695045, 694048
137, 617280, 616283
138, 695047, 694050
139, 894448, 893451
140, 959254, 958257
141, 920372, 919375
142, 876505, 875508
143, 669130, 668133
144, 708014, 707017
145, 920376, 919379
146, 933338, 932341
147, 669134, 668137
148, 690072, 689075
149, 954278, 953281
150, 954279, 953282
151, 482699, 481702
152, 521583, 520586
153, 669140, 668143
154, 959268, 958271
155, 933347, 932350
156, 785792, 784795
157, 482705, 481708
158, 482706, 481709
159, 785795, 784798
160, 746913, 745916
161, 746914, 745917
162, 664164, 663167
163, 456789, 455792
164, 876527, 875530
165, 785801, 784804
166, 477729, 476732
167, 928374, 927377
168, 746921, 745924
169, 928376, 927379
170, 928377, 927380
171, 967261, 966264
172, 746925, 745928
173, 928380, 927383
174, 746927, 745930
175, 780826, 779829
176, 1050017, 1049020
177, 741945, 740948
178, 741946, 740949
179, 780830, 779833
180, 716026, 715029
181, 741949, 740952
182, 573457, 572460
183, 741951, 740954
184, 741952, 740955
185, 573460, 572463
186, 1006159, 1005162
187, 1006160, 1005163
188, 573463, 572466
189, 716035, 715038
190, 716036, 715039
191, 967281, 966284
192, 736975, 735978
193, 736976, 735979
194, 322225, 321228
195, 793807, 792810
196, 980247, 979250
197, 568487, 567490
198, 980249, 979252
199, 135791, 134794
200, 607373, 606376
201, 793813, 792816
202, 1040073, 1039076
203, 400000, 399003
204, 529611, 528614
205, 832700, 831703
206, 607379, 606382
207, 400004, 399007
208, 832703, 831706
209, 400006, 399009
210, 767900, 766903
211, 788838, 787841
212, 832707, 831710
213, 400010, 399013
214, 581465, 580468
215, 400012, 399015
216, 767906, 766909
217, 806790, 805793
218, 871596, 870599
219, 793831, 792834
220, 581471, 580474
221, 581472, 580475
222, 871600, 870603
223, 827733, 826736
224, 827734, 826737
225, 395037, 394040
226, 395038, 394041
227, 659244, 658247
228, 659245, 658248
229, 659246, 658249
230, 659247, 658250
231, 788858, 787861
232, 866625, 865628
233, 659250, 658253
234, 659251, 658254
235, 620369, 619372
236, 659253, 658256
237, 845693, 844696
238, 840709, 839712
239, 659256, 658259
240, 659257, 658260
241, 633336, 632339
242, 659259, 658262
243, 923465, 922468
244, 840715, 839718
245, 633340, 632343
246, 840717, 839720
247, 633342, 632345
248, 672226, 671229
249, 918486, 917489
250, 923472, 922475
251, 654283, 653286
252, 654284, 653287
253, 485792, 484795
254, 918491, 917494
255, 918492, 917495
256, 446912, 445915
257, 628367, 627370
258, 750002, 749005
259, 750003, 749006
260, 750004, 749007
261, 750005, 749008
262, 446918, 445921
263, 750007, 749010
264, 750008, 749011
265, 892580, 891583
266, 750010, 749013
267, 628377, 627380
268, 840739, 839742
269, 750013, 749016
270, 750014, 749017
271, 441942, 440945
272, 750016, 749019
273, 866666, 865669
274, 892589, 891592
275, 913527, 912530
276, 745035, 744038
277, 913529, 912532
278, 892593, 891596
279, 745038, 744041
280, 745039, 744042
281, 1009245, 1008248
282, 706158, 705161
283, 706159, 705162
284, 680238, 679241
285, 1009249, 1008252
286, 706162, 705165
287, 908554, 907557
288, 706164, 705167
289, 493804, 492807
290, 965386, 964389
291, 970372, 969375
292, 944451, 943454
293, 758013, 757016
294, 680248, 679251
295, 983337, 982340
296, 965392, 964395
297, 701188, 700191
298, 701189, 700192
299, 758019, 757022
300, 944459, 943462
301, 778958, 777961
302, 532700, 531703
303, 100003, 99006
304, 571585, 570588
305, 758025, 757028
306, 835792, 834795
307, 835793, 834796
308, 571589, 570592
309, 493824, 492827
310, 571591, 570594
311, 939485, 938488
312, 835798, 834801
313, 796916, 795919
314, 835800, 834803
315, 753050, 752053
316, 753051, 752054
317, 796920, 795923
318, 835804, 834807
319, 545678, 544681
320, 566616, 565619
321, 939495, 938498
322, 835808, 834811
323, 359243, 358246
324, 830825, 829828
325, 545684, 544687
326, 835812, 834815
327, 1038204, 1037207
328, 791946, 790949
329, 359249, 358252
330, 359250, 358253
331, 830832, 829835
332, 623457, 622460
333, 623458, 622461
334, 540708, 539711
335, 333333, 332336
336, 753071, 752074
337, 830838, 829841
338, 623463, 622466
339, 1056162, 1055165
340, 623465, 622468
341, 991359, 990362
342, 804921, 803924
343, 843805, 842808
344, 623469, 622472
345, 804924, 803927
346, 623471, 622474
347, 825863, 824866
348, 1030249, 1029252
349, 618489, 617492
350, 618490, 617493
351, 657374, 656377
352, 804931, 803934
353, 618493, 617496
354, 450001, 449004
355, 618495, 617498
356, 618496, 617499
357, 450004, 449007
358, 882703, 881706
359, 882704, 881707
360, 450007, 449010
361, 592579, 591582
362, 592580, 591583
363, 843825, 842828
364, 882709, 881712
365, 613520, 612523
366, 843828, 842831
367, 882712, 881715
368, 882713, 881716
369, 877729, 876732
370, 856793, 855796
371, 882716, 881719
372, 592590, 591593
373, 877733, 876736
374, 916617, 915620
375, 877735, 876738
376, 406155, 405158
377, 709244, 708247
378, 856801, 855804
379, 851817, 850820
380, 709247, 708250
