# n=30, modulus d=4, coefficients d=5
# Frobenius number = 393324, Frobenius root = 4377, Apery max = 403297
coefficients = [9973, 13001, 16001, 19001, 22003, 25013, 28027, 31013, 34007, 37001, 
                    40009, 43003, 46021, 49003, 52009, 55001, 58013, 61001, 64007, 67001, 
                    70009, 73001, 76003, 79001, 82013, 85009, 88007, 91039, 94001, 97001]


Residues, Apery set, Zeros
0, 0, 0
1, 289218, 279245
2, 299192, 289219
3, 289220, 279247
4, 289221, 279248
5, 289222, 279249
6, 299196, 289223
7, 289224, 279251
8, 299198, 289225
9, 289226, 279253
10, 309173, 299200
11, 289228, 279255
12, 309175, 299202
13, 299203, 289230
14, 309177, 299204
15, 299205, 289232
16, 309179, 299206
17, 299207, 289234
18, 299208, 289235
19, 289236, 279263
20, 299210, 289237
21, 289238, 279265
22, 309185, 299212
23, 299213, 289240
24, 309187, 299214
25, 299215, 289242
26, 309189, 299216
27, 289244, 279271
28, 309191, 299218
29, 299219, 289246
30, 309193, 299220
31, 299221, 289248
32, 309195, 299222
33, 299223, 289250
34, 309197, 299224
35, 299225, 289252
36, 309199, 299226
37, 299227, 289254
38, 309201, 299228
39, 299229, 289256
40, 309203, 299230
41, 299231, 289258
42, 309205, 299232
43, 309206, 299233
44, 309207, 299234
45, 299235, 289262
46, 309209, 299236
47, 299237, 289264
48, 309211, 299238
49, 299239, 289266
50, 319186, 309213
51, 309214, 299241
52, 309215, 299242
53, 299243, 289270
54, 319190, 309217
55, 309218, 299245
56, 319192, 309219
57, 309220, 299247
58, 319194, 309221
59, 309222, 299249
60, 319196, 309223
61, 299251, 289278
62, 309225, 299252
63, 309226, 299253
64, 309227, 299254
65, 299255, 289282
66, 319202, 309229
67, 299257, 289284
68, 309231, 299258
69, 299259, 289286
70, 319206, 309233
71, 309234, 299261
72, 319208, 309235
73, 309236, 299263
74, 319210, 309237
75, 309238, 299265
76, 319212, 309239
77, 309240, 299267
78, 319214, 309241
79, 309242, 299269
80, 319216, 309243
81, 299271, 289298
82, 319218, 309245
83, 309246, 299273
84, 319220, 309247
85, 309248, 299275
86, 319222, 309249
87, 309250, 299277
88, 319224, 309251
89, 319225, 309252
90, 319226, 309253
91, 319227, 309254
92, 319228, 309255
93, 319229, 309256
94, 319230, 309257
95, 309258, 299285
96, 319232, 309259
97, 319233, 309260
98, 329207, 319234
99, 319235, 309262
100, 319236, 309263
101, 319237, 309264
102, 319238, 309265
103, 329212, 319239
104, 319240, 309267
105, 329214, 319241
106, 329215, 319242
107, 329216, 319243
108, 319244, 309271
109, 309272, 299299
110, 329219, 319246
111, 319247, 309274
112, 329221, 319248
113, 319249, 309276
114, 329223, 319250
115, 329224, 319251
116, 329225, 319252
117, 40009, 30036
118, 329227, 319254
119, 329228, 319255
120, 329229, 319256
121, 329230, 319257
122, 329231, 319258
123, 319259, 309286
124, 329233, 319260
125, 329234, 319261
126, 329235, 319262
127, 329236, 319263
128, 329237, 319264
129, 339211, 329238
130, 339212, 329239
131, 339213, 329240
132, 329241, 319268
133, 339215, 329242
134, 329243, 319270
135, 339217, 329244
136, 329245, 319272
137, 50002, 40029
138, 329247, 319274
139, 329248, 319275
140, 329249, 319276
141, 329250, 319277
142, 329251, 319278
143, 50008, 40035
144, 329253, 319280
145, 339227, 329254
146, 339228, 329255
147, 339229, 329256
148, 329257, 319284
149, 50014, 40041
150, 329259, 319286
151, 329260, 319287
152, 339234, 329261
153, 339235, 329262
154, 339236, 329263
155, 339237, 329264
156, 329265, 319292
157, 349212, 339239
158, 339240, 329267
159, 349214, 339241
160, 339242, 329269
161, 50026, 40053
162, 339244, 329271
163, 349218, 339245
164, 329273, 319300
165, 50030, 40057
166, 339248, 329275
167, 60005, 50032
168, 329277, 319304
169, 60007, 50034
170, 339252, 329279
171, 60009, 50036
172, 339254, 329281
173, 349228, 339255
174, 339256, 329283
175, 349230, 339257
176, 339258, 329285
177, 60015, 50042
178, 339260, 329287
179, 60017, 50044
180, 339262, 329289
181, 349236, 339263
182, 339264, 329291
183, 349238, 339265
184, 339266, 329293
185, 349240, 339267
186, 339268, 329295
187, 349242, 339269
188, 339270, 329297
189, 349244, 339271
190, 349245, 339272
191, 60029, 50056
192, 339274, 329301
193, 70004, 60031
194, 349249, 339276
195, 70006, 60033
196, 339278, 329305
197, 70008, 60035
198, 70009, 60036
199, 349254, 339281
200, 339282, 329309
201, 359229, 349256
202, 349257, 339284
203, 359231, 349258
204, 349259, 339286
205, 70016, 60043
206, 349261, 339288
207, 349262, 339289
208, 339290, 329317
209, 359237, 349264
210, 339292, 329319
211, 359239, 349266
212, 349267, 339294
213, 359241, 349268
214, 349269, 339296
215, 359243, 349270
216, 349271, 339298
217, 359245, 349272
218, 80002, 70029
219, 70030, 60057
220, 80004, 70031
221, 80005, 70032
222, 349277, 339304
223, 80007, 70034
224, 80008, 70035
225, 359253, 349280
226, 349281, 339308
227, 359255, 349282
228, 339310, 329337
229, 359257, 349284
230, 80014, 70041
231, 359259, 349286
232, 80016, 70043
233, 80017, 70044
234, 80018, 70045
