# n=36, modulus d=4, coefficients d=6
# Frobenius number = 2073586, Frobenius root = 275, Apery max = 2075009
coefficients = [1423, 100003, 125003, 150001, 175003, 200003, 225001, 250007, 275003, 300007, 
                325001, 350003, 375001, 400009, 425003, 450001, 475001, 500009, 525001, 550001, 
                575003, 600001, 625001, 650003, 675001, 700001, 725003, 750001, 775001, 800009, 
                825001, 850009, 875003, 900001, 925001, 950009]


Residues, Apery set, Zeros
0, 0, 0
1, 1275009, 1273586
2, 1275010, 1273587
3, 1275011, 1273588
4, 1275012, 1273589
5, 1275013, 1273590
6, 1275014, 1273591
7, 1275015, 1273592
8, 1275016, 1273593
9, 1275017, 1273594
10, 1275018, 1273595
11, 1275019, 1273596
12, 1275020, 1273597
13, 1275021, 1273598
14, 1275022, 1273599
15, 1275023, 1273600
16, 1275024, 1273601
17, 1275025, 1273602
18, 1275026, 1273603
19, 1275027, 1273604
20, 1275028, 1273605
21, 1275029, 1273606
22, 1275030, 1273607
23, 1100002, 1098579
24, 1100003, 1098580
25, 1100004, 1098581
26, 1100005, 1098582
27, 1100006, 1098583
28, 1100007, 1098584
29, 1100008, 1098585
30, 1100009, 1098586
31, 1100010, 1098587
32, 1100011, 1098588
33, 1100012, 1098589
34, 1100013, 1098590
35, 1100014, 1098591
36, 1100015, 1098592
37, 1100016, 1098593
38, 1100017, 1098594
39, 1100018, 1098595
40, 1100019, 1098596
41, 1100020, 1098597
42, 1100021, 1098598
43, 1100022, 1098599
44, 1100023, 1098600
45, 1100024, 1098601
46, 1100025, 1098602
47, 1100026, 1098603
48, 1100027, 1098604
49, 1100028, 1098605
50, 1100029, 1098606
51, 925001, 923578
52, 925002, 923579
53, 925003, 923580
54, 925004, 923581
55, 925005, 923582
56, 925006, 923583
57, 925007, 923584
58, 925008, 923585
59, 925009, 923586
60, 925010, 923587
61, 925011, 923588
62, 925012, 923589
63, 925013, 923590
64, 925014, 923591
65, 925015, 923592
66, 925016, 923593
67, 925017, 923594
68, 925018, 923595
69, 925019, 923596
70, 925020, 923597
71, 925021, 923598
72, 925022, 923599
73, 925023, 923600
74, 925024, 923601
75, 925025, 923602
76, 925026, 923603
77, 925027, 923604
78, 2025007, 2023584
79, 2025008, 2023585
80, 750001, 748578
81, 750002, 748579
82, 750003, 748580
83, 750004, 748581
84, 750005, 748582
85, 750006, 748583
86, 750007, 748584
87, 750008, 748585
88, 750009, 748586
89, 750010, 748587
90, 750011, 748588
91, 750012, 748589
92, 750013, 748590
93, 750014, 748591
94, 750015, 748592
95, 750016, 748593
96, 750017, 748594
97, 750018, 748595
98, 750019, 748596
99, 750020, 748597
100, 750021, 748598
101, 750022, 748599
102, 1850002, 1848579
103, 1850003, 1848580
104, 1850004, 1848581
105, 1850005, 1848582
106, 1850006, 1848583
107, 1850007, 1848584
108, 1850008, 1848585
109, 1850009, 1848586
110, 1850010, 1848587
111, 575003, 573580
112, 575004, 573581
113, 575005, 573582
114, 575006, 573583
115, 575007, 573584
116, 575008, 573585
117, 575009, 573586
118, 575010, 573587
119, 575011, 573588
120, 575012, 573589
121, 575013, 573590
122, 1850022, 1848599
123, 575015, 573592
124, 575016, 573593
125, 1850025, 1848602
126, 1850026, 1848603
127, 1850027, 1848604
128, 1850028, 1848605
129, 1850029, 1848606
130, 1850030, 1848607
131, 1675002, 1673579
132, 1675003, 1673580
133, 1675004, 1673581
134, 1675005, 1673582
135, 1675006, 1673583
136, 1675007, 1673584
137, 1675008, 1673585
138, 1675009, 1673586
139, 1675010, 1673587
140, 1675011, 1673588
141, 400004, 398581
142, 400005, 398582
143, 400006, 398583
144, 400007, 398584
145, 400008, 398585
146, 400009, 398586
147, 400010, 398587
148, 1675019, 1673596
149, 400012, 398589
150, 1675021, 1673598
151, 1675022, 1673599
152, 1675023, 1673600
153, 1675024, 1673601
154, 1675025, 1673602
155, 1675026, 1673603
156, 1675027, 1673604
157, 1675028, 1673605
158, 1675029, 1673606
159, 1675030, 1673607
160, 1500002, 1498579
161, 1500003, 1498580
162, 1500004, 1498581
163, 1500005, 1498582
164, 1500006, 1498583
165, 1500007, 1498584
166, 1500008, 1498585
167, 225001, 223578
168, 1500010, 1498587
169, 1500011, 1498588
170, 1500012, 1498589
171, 1500013, 1498590
172, 225006, 223583
173, 1500015, 1498592
174, 1500016, 1498593
175, 1500017, 1498594
176, 1500018, 1498595
177, 1500019, 1498596
178, 1500020, 1498597
179, 1500021, 1498598
180, 1500022, 1498599
181, 1500023, 1498600
182, 1500024, 1498601
183, 1500025, 1498602
184, 1500026, 1498603
185, 1500027, 1498604
186, 1500028, 1498605
187, 1500029, 1498606
188, 1500030, 1498607
189, 1325002, 1323579
190, 1325003, 1323580
191, 1325004, 1323581
192, 1325005, 1323582
193, 1325006, 1323583
194, 1325007, 1323584
195, 1325008, 1323585
196, 1325009, 1323586
197, 1325010, 1323587
198, 1325011, 1323588
199, 1325012, 1323589
200, 1325013, 1323590
201, 1325014, 1323591
202, 1325015, 1323592
203, 1325016, 1323593
204, 1325017, 1323594
205, 1325018, 1323595
206, 1325019, 1323596
207, 1325020, 1323597
208, 1325021, 1323598
209, 1325022, 1323599
210, 1325023, 1323600
211, 1325024, 1323601
212, 1325025, 1323602
213, 1325026, 1323603
214, 1325027, 1323604
215, 1325028, 1323605
216, 1325029, 1323606
217, 1325030, 1323607
218, 1150002, 1148579
219, 1150003, 1148580
220, 1150004, 1148581
221, 1150005, 1148582
222, 1150006, 1148583
223, 1150007, 1148584
224, 1150008, 1148585
225, 1150009, 1148586
226, 1150010, 1148587
227, 1150011, 1148588
228, 1150012, 1148589
229, 1150013, 1148590
230, 1150014, 1148591
231, 1150015, 1148592
232, 1150016, 1148593
233, 1150017, 1148594
234, 1150018, 1148595
235, 1150019, 1148596
236, 1150020, 1148597
237, 1150021, 1148598
238, 1150022, 1148599
239, 1150023, 1148600
240, 1150024, 1148601
241, 1150025, 1148602
242, 1150026, 1148603
243, 1150027, 1148604
244, 1150028, 1148605
245, 1150029, 1148606
246, 1150030, 1148607
247, 975002, 973579
248, 975003, 973580
249, 975004, 973581
250, 975005, 973582
251, 975006, 973583
252, 975007, 973584
253, 975008, 973585
254, 975009, 973586
255, 975010, 973587
256, 975011, 973588
257, 975012, 973589
258, 975013, 973590
259, 975014, 973591
260, 975015, 973592
261, 975016, 973593
262, 975017, 973594
263, 975018, 973595
264, 975019, 973596
265, 975020, 973597
266, 975021, 973598
267, 975022, 973599
268, 975023, 973600
269, 975024, 973601
270, 975025, 973602
271, 975026, 973603
272, 975027, 973604
273, 975028, 973605
274, 2075008, 2073585
275, 2075009, 2073586
276, 800002, 798579
277, 800003, 798580
278, 800004, 798581
279, 800005, 798582
280, 800006, 798583
281, 800007, 798584
282, 800008, 798585
