# n=50, modulus d=5, coefficients d=8
# Frobenius number = 167814555, Frobenius root = 7172, Apery max = 167824562
coefficients = [10007, 10000001, 12345678, 15924381, 17777777, 20000003, 22222222, 24680246, 25000001, 28000001, 
                30000001, 31415926, 33333333, 35000003, 37000001, 40000003, 42000001, 44444444, 45000001, 48000001, 
                50000003, 51234567, 55000001, 55555555, 58000001, 60000001, 62000003, 64000001, 65000003, 68000001, 
                70000001, 71111111, 73000001, 75000001, 77777777, 79000001, 80000009, 81000001, 83000003, 85000001, 
                88000001, 88888888, 90000001, 91000001, 92000003, 94000001, 95000003, 97000001, 99000001, 99999989]


Residues, Apery set, Zeros
0, 0, 0
1, 114540123, 114530116
2, 121775185, 121765178
3, 121775186, 121765179
4, 123266230, 123256223
5, 127158954, 127148947
6, 127158955, 127148948
7, 127158956, 127148949
8, 73761605, 73751598
9, 76043202, 76033195
10, 73761607, 73751600
11, 73761608, 73751601
12, 129360501, 129350494
13, 129360502, 129350495
14, 129360503, 129350496
15, 82837961, 82827954
16, 33333333, 33323326
17, 98368827, 98358820
18, 87691359, 87681352
19, 87691360, 87681353
20, 103222225, 103212218
21, 144961423, 144951416
22, 107094936, 107084929
23, 147523217, 147513210
24, 37025924, 37015917
25, 109376535, 109366528
26, 107094940, 107084933
27, 107094941, 107084934
28, 111317896, 111307889
29, 114680249, 114670242
30, 114680250, 114670243
31, 114680251, 114670244
32, 66666666, 66656659
33, 113069126, 113059119
34, 110787531, 110777524
35, 110787532, 110777525
36, 114680256, 114670249
37, 114680257, 114670250
38, 99999989, 99989982
39, 114680259, 114670252
40, 70359257, 70349250
41, 121354930, 121344923
42, 124717283, 124707276
43, 124717284, 124707277
44, 136885797, 136875790
45, 136885798, 136875791
46, 136885799, 136875792
47, 84469134, 84459127
48, 22345679, 22335672
49, 100000000, 99989993
50, 95146606, 95136599
51, 95146607, 95136600
52, 100000003, 99989996
53, 96107281, 96097274
54, 100000005, 99989998
55, 100000006, 99989999
56, 96107284, 96097277
57, 96107285, 96097278
58, 96107286, 96097279
59, 96107287, 96097280
60, 96107288, 96097281
61, 100000012, 99990005
62, 100000013, 99990006
63, 100000014, 99990007
64, 55679012, 55669005
65, 120714506, 120704499
66, 110037038, 110027031
67, 110037039, 110027032
68, 125377771, 125367764
69, 123096176, 123086169
70, 123096177, 123086170
71, 121495058, 121485051
72, 59371603, 59361596
73, 129440618, 129430611
74, 74902469, 74892462
75, 129440620, 129430613
76, 129440621, 129430614
77, 133133205, 133123198
78, 133333346, 133323339
79, 133333347, 133323340
80, 89012345, 89002338
81, 89012346, 89002339
82, 89012347, 89002340
83, 86360493, 86350486
84, 91924386, 91914379
85, 137025936, 137015929
86, 122345668, 122335661
87, 98529009, 98519002
88, 92704936, 92694929
89, 108235801, 108225794
90, 103382407, 103372400
91, 103382408, 103372401
92, 108235804, 108225797
93, 108415931, 108405924
94, 108415932, 108405925
95, 106814813, 106804806
96, 44691358, 44681351
97, 44691359, 44681352
98, 60222224, 60212217
99, 117492286, 117482279
100, 122345682, 122335675
101, 118452960, 118442953
102, 122345684, 122335677
103, 118452962, 118442955
104, 118452963, 118442956
105, 118452964, 118442957
106, 118452965, 118442958
107, 71680248, 71670241
108, 78024687, 78014680
109, 122345691, 122335684
110, 122345692, 122335685
111, 83848764, 83838757
112, 78024691, 78014684
113, 78024692, 78014685
114, 88702162, 88692155
115, 88702163, 88692156
116, 88702164, 88692157
117, 95486911, 95476904
118, 145441856, 145431849
119, 143840737, 143830730
120, 81717282, 81707275
121, 81717283, 81707276
122, 97248148, 97238141
123, 93885797, 93875790
124, 98739193, 98729186
125, 155478884, 155468877
126, 122035491, 122025484
127, 111358023, 111348016
128, 111358024, 111348017
129, 111358025, 111348018
130, 111358026, 111348019
131, 57000003, 56989996
132, 57000004, 56989997
133, 128820244, 128810237
134, 128820245, 128810238
135, 120874688, 120864681
136, 115050615, 115040608
137, 115050616, 115040609
138, 116541660, 116531653
139, 125728087, 125718080
140, 75773144, 75763137
141, 130761610, 130751603
142, 67037035, 67027028
143, 90333332, 90323325
144, 67037037, 67027030
145, 67037038, 67027031
146, 82567903, 82557896
147, 82567904, 82557897
148, 90333337, 90323330
149, 140798639, 140788632
150, 140798640, 140788633
151, 140798641, 140788634
152, 101971482, 101961475
153, 101971483, 101961476
154, 140798644, 140788637
155, 94025927, 94015920
156, 94025928, 94015921
157, 111047836, 111037829
158, 100370368, 100360361
159, 106194443, 106184436
160, 100370370, 100360363
161, 100370371, 100360364
162, 111047841, 111037834
163, 111047842, 111037835
164, 111047843, 111037836
165, 115901239, 115891232
166, 104062959, 104052952
167, 127359256, 127349249
168, 104062961, 104052954
169, 104062962, 104052955
170, 119593827, 119583820
171, 116231476, 116221469
172, 77404317, 77394310
173, 128850305, 128840298
174, 72020553, 72010546
175, 133703702, 133693695
176, 133703703, 133693696
177, 79345680, 79335673
178, 133703705, 133693698
179, 79345682, 79335675
180, 79345683, 79335676
181, 136615745, 136605738
182, 137396292, 137386285
183, 90983827, 90973820
184, 137396294, 137386287
185, 137396295, 137386288
186, 138887339, 138877332
187, 89382711, 89372704
188, 98118823, 98108816
189, 151506169, 151496162
190, 89382714, 89372707
191, 89382715, 89372708
192, 89382716, 89372709
193, 89382717, 89372710
194, 89382718, 89372711
195, 104913583, 104903576
196, 112679016, 112669009
197, 119463763, 119453756
198, 57340308, 57330301
199, 124317160, 124307153
200, 124317161, 124307154
201, 116371604, 116361597
202, 131902469, 131892462
203, 66416662, 66406655
204, 116371607, 116361600
205, 122716046, 122706039
206, 122716047, 122706040
207, 122716048, 122706041
208, 122716049, 122706042
209, 122716050, 122706043
210, 122716051, 122706044
211, 126408635, 126398628
212, 133393522, 133383515
213, 133393523, 133383516
214, 90673641, 90663634
215, 126408639, 126398632
216, 126408640, 126398633
217, 126408641, 126398634
218, 126408642, 126398635
219, 99749995, 99739988
220, 99749996, 99739989
221, 99749997, 99739990
222, 94366232, 94356225
223, 149965125, 149955118
224, 112368827, 112358820
225, 101691359, 101681352
226, 101691360, 101681353
227, 101691361, 101681354
228, 101691362, 101681355
229, 101691363, 101681356
230, 117222228, 117212221
231, 113329506, 113319499
232, 113329507, 113319500
233, 117222231, 117212224
234, 117222232, 117212225
235, 111728390, 111718383
236, 117222234, 117212227
237, 111728392, 111718385
238, 72901233, 72891226
239, 111728394, 111718387
240, 111728395, 111718388
241, 111728396, 111718389
242, 111728397, 111718390
243, 127259262, 127249255
244, 127259263, 127249256
245, 135024696, 135014689
246, 79685987, 79675980
247, 79685988, 79675981
248, 135284881, 135274874
249, 135284882, 135274875
250, 135284883, 135274876
251, 88762341, 88752334
252, 138717286, 138707279
253, 104293207, 104283200
254, 93615739, 93605732
255, 98469135, 98459128
256, 106234568, 106224561
257, 106234569, 106224562
258, 113019316, 113009309
259, 106234571, 106224564
260, 106234572, 106224565
261, 106234573, 106224566
262, 109927157, 109917150
263, 113019321, 113009314
264, 114000008, 113990001
265, 120604629, 120594622
266, 120604630, 120594623
267, 120604631, 120594624
268, 120604632, 120594625
269, 116271602, 116261595
270, 116711911, 116701904
271, 116711912, 116701905
272, 120604636, 120594629
273, 120604637, 120594630
274, 120604638, 120594631
275, 120604639, 120594632
276, 124037041, 124027034
277, 124037042, 124027035
278, 130641663, 130631656
279, 135495059, 135485052
280, 135675186, 135665179
281, 88902469, 88892462
282, 139567911, 139557904
283, 134074069, 134064062
284, 28270059, 28260052
285, 105924380, 105914373
286, 95246912, 95236905
287, 95246913, 95236906
288, 105924383, 105914376
289, 105924384, 105914377
290, 105924385, 105914378
291, 105924386, 105914379
292, 102031664, 102021657
293, 104313261, 104303254
294, 102031666, 102021659
295, 102031667, 102021660
296, 105924391, 105914384
297, 105924392, 105914385
298, 105924393, 105914386
299, 105924394, 105914387
300, 61603392, 61593385
301, 126638886, 126628879
302, 115961418, 115951411
303, 115961419, 115951412
304, 128580247, 128570240
305, 74222224, 74212217
306, 128580249, 128570242
307, 128580250, 128570243
308, 65295983, 65285976
309, 128580252, 128570245
310, 132272836, 132262829
311, 85860371, 85850364
312, 133873958, 133863951
313, 136345688, 136335681
314, 139257726, 139247719
315, 139257727, 139247720
316, 94936725, 94926718
317, 84259257, 84249250
318, 139057590, 139047583
319, 97848765, 97838758
320, 107555556, 107545549
321, 97138270, 97128263
322, 107555558, 107545551
323, 97138272, 97128265
324, 97138273, 97128266
325, 146382721, 146372714
326, 109306787, 109296780
327, 109306788, 109296781
328, 116621906, 116611899
329, 108776419, 108766412
330, 114340312, 114330305
331, 112739193, 112729186
332, 50615738, 50605731
333, 117592590, 117582583
334, 66146604, 66136597
335, 117592592, 117582585
336, 119193713, 119183706
337, 124377340, 124367333
338, 128270064, 128260057
339, 128270065, 128260058
340, 124377343, 124367336
341, 121285181, 121275174
342, 82458022, 82448015
343, 77604628, 77594621
344, 124377347, 124367340
345, 82458025, 82448018
346, 82458026, 82448019
347, 82458027, 82448020
348, 82458028, 82448021
349, 82458029, 82448022
350, 94626542, 94616535
351, 94626543, 94616536
352, 96567902, 96557895
353, 94096174, 94086167
354, 96567904, 96557897
355, 149765117, 149755110
356, 87641662, 87631655
357, 150925931, 150915924
358, 103172528, 103162521
359, 108206050, 108196043
360, 108206051, 108196044
361, 115791358, 115781351
362, 115791359, 115781352
363, 115791360, 115781353
364, 115791361, 115781354
365, 106604936, 106594929
366, 67777777, 67767770
367, 62924383, 62914376
368, 67777779, 67767772
369, 67777780, 67767773
370, 67777781, 67767774
371, 67777782, 67767775
372, 67777783, 67767776
373, 67777784, 67767777
374, 131652466, 131642459
375, 79415927, 79405920
376, 133593826, 133583819
377, 79415929, 79405922
378, 79415930, 79405923
379, 135084872, 135074865
380, 72961417, 72951410
381, 72961418, 72951411
382, 88492283, 88482276
383, 93345679, 93335672
384, 101111112, 101101105
385, 93345681, 93335674
386, 101111114, 101101107
387, 101111115, 101101108
388, 101111116, 101101109
389, 101111117, 101101110
390, 104803701, 104793694
391, 99950307, 99940300
392, 104803703, 104793696
393, 104803704, 104793697
394, 104803705, 104793698
395, 104803706, 104793699
396, 104803707, 104793700
397, 56790122, 56780115
398, 116972221, 116962214
399, 116441851, 116431844
400, 116972223, 116962216
401, 116441853, 116431846
402, 116441854, 116431847
403, 130551725, 130541718
404, 109987341, 109977334
405, 109987342, 109977335
406, 125518207, 125508200
407, 122155856, 122145849
408, 83328697, 83318690
409, 130371605, 130361598
410, 134444455, 134434448
411, 128950613, 128940606
412, 134444457, 134434450
413, 90123455, 90113448
414, 87831853, 87821846
415, 28000001, 27989994
416, 85270063, 85260056
417, 90123459, 90113452
418, 86230737, 86220730
419, 90123461, 90113454
420, 90123462, 90113455
421, 90123463, 90113456
422, 90123464, 90113457
423, 101761606, 101751599
424, 104043203, 104033196
425, 101761608, 101751601
426, 95307094, 95297087
427, 118603391, 118593384
428, 95307096, 95297089
429, 95307097, 95297090
430, 110837962, 110827955
431, 61333334, 61323327
432, 118603396, 118593389
433, 115691360, 115681353
434, 63264688, 63254681
435, 123456794, 123446787
436, 123456795, 123446788
437, 123456796, 123446789
438, 123456797, 123446790
439, 65025925, 65015918
440, 122295987, 122285980
441, 127149383, 127139376
442, 123256661, 123246654
443, 125728391, 125718384
444, 127149386, 127139379
445, 79135801, 79125794
446, 127149388, 127139381
447, 94666667, 94656660
448, 139317902, 139307895
449, 138787532, 138777525
450, 96598021, 96588014
451, 141259263, 141249256
452, 132333020, 132323013
453, 98539382, 98529375
454, 142680260, 142670253
455, 98359258, 98349251
456, 105674376, 105664369
457, 152717284, 152707277
458, 100290612, 100280605
459, 151296292, 151286285
460, 112469133, 112459126
461, 107615739, 107605732
462, 110177532, 110167525
463, 50345680, 50335673
464, 107615742, 107605735
465, 112469138, 112459131
466, 108576416, 108566409
467, 112469140, 112459133
468, 112469141, 112459134
469, 112469142, 112459135
470, 112469143, 112459136
471, 117652770, 117642763
472, 124107286, 124097279
473, 124107287, 124097280
474, 117652773, 117642766
475, 117652774, 117642767
476, 117652775, 117642768
477, 117652776, 117642769
478, 117652777, 117642770
479, 83679013, 83669006
480, 91444446, 91434439
481, 138037039, 138027032
482, 85610367, 85600360
483, 141209260, 141199253
484, 141209261, 141199254
485, 141209262, 141199255
486, 141209263, 141199256
487, 87371604, 87361597
488, 144641666, 144631659
489, 102902470, 102892463
490, 145602340, 145592333
491, 148074070, 148064063
492, 149495065, 149485058
493, 101481480, 101471473
494, 101481481, 101471474
495, 112158951, 112148944
496, 112158952, 112148945
497, 117012348, 117002341
498, 114360494, 114350487
499, 114360495, 114350488
500, 114360496, 114350489
501, 114360497, 114350490
502, 114360498, 114350491
503, 114360499, 114350492
504, 124777787, 124767780
505, 124777788, 124767781
506, 122636291, 122626284
507, 126529015, 126519008
508, 126529016, 126519009
509, 72691357, 72681350
510, 126529018, 126519011
511, 72691359, 72681352
512, 72691360, 72681353
513, 88222225, 88212218
514, 130922095, 130912088
515, 130922096, 130912089
516, 134814820, 134804813
517, 134814821, 134804814
518, 134814822, 134804815
519, 134814823, 134804816
520, 99680247, 99670240
521, 99680248, 99670241
522, 99680249, 99670242
523, 99680250, 99670243
524, 99680251, 99670244
525, 99680252, 99670245
526, 99680253, 99670246
527, 99680254, 99670247
528, 99680255, 99670248
529, 111848768, 111838761
530, 107956046, 107946039
531, 107956047, 107946040
532, 111848771, 111838764
533, 109717281, 109707274
534, 111848773, 111838766
535, 109717283, 109707276
536, 109717284, 109707277
537, 123827155, 123817148
538, 121885798, 121875791
539, 123827157, 123817150
540, 133013584, 133003577
541, 80146604, 80136597
542, 85000000, 84989993
543, 85000001, 84989994
544, 85000002, 84989995
545, 85000003, 84989996
546, 85000004, 84989997
547, 85000005, 84989998
548, 81107283, 81097276
549, 85000007, 84990000
550, 85000008, 84990001
551, 85000009, 84990002
552, 79506167, 79496160
553, 100861106, 100851099
554, 144981970, 144971963
555, 103773145, 103763138
556, 95037035, 95027028
557, 95037036, 95027029
558, 113479938, 113469931
559, 95037038, 95027031
560, 95037039, 95027032
561, 110567904, 110557897
562, 110567905, 110557898
563, 118333338, 118323331
564, 114440616, 114430609
565, 117172528, 117162521
566, 118333341, 118323334
567, 118333342, 118323335
568, 56540118, 56530111
569, 122025927, 122015920
570, 122025928, 122015921
571, 122025929, 122015922
572, 118133207, 118123200
573, 122025931, 122015924
574, 81777778, 81767771
575, 122025933, 122015926
576, 116532091, 116522084
577, 132583320, 132573313
578, 130301725, 130291718
579, 130301726, 130291719
580, 132062959, 132052952
581, 88382405, 88372398
582, 134194452, 134184445
583, 88382407, 88372400
584, 88382408, 88372401
585, 93415930, 93405923
586, 100550922, 100540915
587, 91814812, 91804805
588, 146172837, 146162830
589, 100020554, 100010547
590, 105054076, 105044069
591, 105054077, 105044070
592, 93566042, 93556035
593, 107345682, 107335675
594, 107345683, 107335676
595, 107345684, 107335677
596, 103452962, 103442955
597, 103452963, 103442956
598, 107345687, 107335680
599, 107345688, 107335681
600, 101851846, 101841839
601, 107345690, 107335683
602, 73702157, 73692150
603, 68848763, 68838756
604, 117382714, 117372707
605, 73702160, 73692153
606, 73702161, 73692154
607, 73702162, 73692155
608, 73702163, 73692156
609, 73702164, 73692157
610, 132913584, 132903577
611, 128840736, 128830729
612, 136786295, 136776288
613, 85340309, 85330302
