# n=60, modulus d=5, coefficients d=8
# Frobenius number = 195894816, Frobenius root = 5437, Apery max = 195914819
coefficients = [20003, 10000001, 12345678, 15000001, 17500003, 20000003, 22222222, 24680246, 25000001, 28000001, 
                30000001, 31415927, 33333333, 35000003, 37000001, 40000003, 42000001, 44444444, 45000001, 48000001, 
                50000003, 51234567, 55000001, 55555555, 58000001, 60000001, 62000003, 64000001, 65000003, 68000001, 
                70000001, 71111111, 73000001, 75000001, 77777777, 79000001, 80000009, 81000001, 83000003, 85000001, 
                88000001, 88888888, 90000001, 91000001, 92000003, 94000001, 95000003, 97000001, 99000001, 99999989,
                100000007, 100000009, 100000021, 100000031, 100000037, 100000039, 100000049, 100000057, 100000061, 100000067]


Residues, Apery set, Zeros
0, 0, 0
1, 135860377, 135840374
2, 130039505, 130019502
3, 130039506, 130019503
4, 130039507, 130019504
5, 164624695, 164604692
6, 130039509, 130019506
7, 128359258, 128339255
8, 90513583, 90493580
9, 128359260, 128339257
10, 128359261, 128339258
11, 128359262, 128339259
12, 151382716, 151362713
13, 126679012, 126659009
14, 150582598, 150562595
15, 88833338, 88813335
16, 114317161, 114297158
17, 151382721, 151362718
18, 144761729, 144741726
19, 105235802, 105215799
20, 105235803, 105215800
21, 152962962, 152942959
22, 152962963, 152942960
23, 177646666, 177626663
24, 165304816, 165284813
25, 103555556, 103535553
26, 165304818, 165284815
27, 103555558, 103535555
28, 103555559, 103535556
29, 166104941, 166084938
30, 159483949, 159463946
31, 141401238, 141381235
32, 166104944, 166084941
33, 143761594, 143741591
34, 167685183, 167665180
35, 119958026, 119938023
36, 138040739, 138020736
37, 131419747, 131399744
38, 131419748, 131399745
39, 131419749, 131399746
40, 131419750, 131399747
41, 131419751, 131399748
42, 145441855, 145421852
43, 131419753, 131399750
44, 136360495, 136340492
45, 136360496, 136340493
46, 136360497, 136340494
47, 105915932, 105895929
48, 105915933, 105895930
49, 105915934, 105895931
50, 134680249, 134660246
51, 134680250, 134660247
52, 134680251, 134660248
53, 134680252, 134660249
54, 134680253, 134660250
55, 133000002, 132979999
56, 133000003, 132980000
57, 133000004, 132980001
58, 120638151, 120618148
59, 120638152, 120618149
60, 120638153, 120618150
61, 120638154, 120618151
62, 133000009, 132980006
63, 96734571, 96714568
64, 133000011, 132980008
65, 133000012, 132980009
66, 133000013, 132980010
67, 133000014, 132980011
68, 113137036, 113117033
69, 125478888, 125458885
70, 116397527, 116377524
71, 116397528, 116377525
72, 116397529, 116377526
73, 85952964, 85932961
74, 111456790, 111436787
75, 111456791, 111436788
76, 147722231, 147702228
77, 76871606, 76851603
78, 37345679, 37325676
79, 37345680, 37325677
80, 147722235, 147702232
81, 143761642, 143741639
82, 136940620, 136920617
83, 113037036, 113017033
84, 136940622, 136920619
85, 100675184, 100655181
86, 88333334, 88313331
87, 88333335, 88313332
88, 88333336, 88313333
89, 88333337, 88313334
90, 88333338, 88313335
91, 88333339, 88313336
92, 88333340, 88313337
93, 88333341, 88313338
94, 52067903, 52047900
95, 89913580, 89893577
96, 151662842, 151642839
97, 126179021, 126159018
98, 142581482, 142561479
99, 142581483, 142561480
100, 142581484, 142561481
101, 140901233, 140881230
102, 140901234, 140881231
103, 103055559, 103035556
104, 103055560, 103035557
105, 103055561, 103035558
106, 66790123, 66770120
107, 140901239, 140881236
108, 177166679, 177146676
109, 134680308, 134660305
110, 166385064, 166365061
111, 143761672, 143741669
112, 181107274, 181087271
113, 155623453, 155603450
114, 157303706, 157283703
115, 117777779, 117757776
116, 117777780, 117757777
117, 117777781, 117757778
118, 117777782, 117757779
119, 105415929, 105395926
120, 168765431, 168745428
121, 132499993, 132479990
122, 119358023, 119338020
123, 168765434, 168745431
124, 143261610, 143241607
125, 143261611, 143241608
126, 143261612, 143241609
127, 134180251, 134160248
128, 134180252, 134160249
129, 134180253, 134160250
130, 134180254, 134160251
131, 132500003, 132480000
132, 134180256, 134160253
133, 132500005, 132480002
134, 132500006, 132480003
135, 96234568, 96214565
136, 96234569, 96214566
137, 96234570, 96214567
138, 96234571, 96214568
139, 96234572, 96214569
140, 132500012, 132480009
141, 96234574, 96214571
142, 132500014, 132480011
143, 132500015, 132480012
144, 132500016, 132480013
145, 132500017, 132480014
146, 132500018, 132480015
147, 132500019, 132480016
148, 132500020, 132480017
149, 132500021, 132480018
150, 132500022, 132480019
151, 123298643, 123278640
152, 110956793, 110936790
153, 110956794, 110936791
154, 110956795, 110936792
155, 114217285, 114197282
156, 74691358, 74671355
157, 74691359, 74671356
158, 74691360, 74671357
159, 74691361, 74671358
160, 74691362, 74671359
161, 74691363, 74671360
162, 112537040, 112517037
163, 112537041, 112517038
164, 87833337, 87813334
165, 125679014, 125659011
166, 125679015, 125659012
167, 125679016, 125659013
168, 125679017, 125659014
169, 125679018, 125659015
170, 125679019, 125659016
171, 125679020, 125659017
172, 89413582, 89393579
173, 89413583, 89393580
174, 125679023, 125659020
175, 125679024, 125659021
176, 102555557, 102535554
177, 127259263, 127239260
178, 147802345, 147782342
179, 147802346, 147782343
180, 117357781, 117337778
181, 132500053, 132480050
182, 77831855, 77811852
183, 138720988, 138700985
184, 104135802, 104115799
185, 104135803, 104115800
186, 104135804, 104115801
187, 137040740, 137020737
188, 104135806, 104115803
189, 132500061, 132480058
190, 137040743, 137020740
191, 155123456, 155103453
192, 132080001, 132059998
193, 132500065, 132480062
194, 135360495, 135340492
195, 135360496, 135340493
196, 122998643, 122978640
197, 104915932, 104895929
198, 142761609, 142741606
199, 132500071, 132480068
200, 118858026, 118838023
201, 133680250, 133660247
202, 121318397, 121298394
203, 133680252, 133660249
204, 147222284, 147202281
205, 132000002, 131979999
206, 132000003, 131980000
207, 132000004, 131980001
208, 132000005, 131980002
209, 107276298, 107256295
210, 132000007, 131980004
211, 132000008, 131980005
212, 132000009, 131980006
213, 132000010, 131980007
214, 132000011, 131980008
215, 132000012, 131980009
216, 132000013, 131980010
217, 132000014, 131980011
218, 132000015, 131980012
219, 132000016, 131980013
220, 133580254, 133560251
221, 133580255, 133560252
222, 146722227, 146702224
223, 122798640, 122778637
224, 110456790, 110436787
225, 146722230, 146702227
226, 146722231, 146702228
227, 113717282, 113697279
228, 146722233, 146702230
229, 146722234, 146702231
230, 146722235, 146702232
231, 146722236, 146702233
232, 112037035, 112017032
233, 112037036, 112017033
234, 112037037, 112017034
235, 112037038, 112017035
236, 112037039, 112017036
237, 112037040, 112017037
238, 112037041, 112017038
239, 112037042, 112017039
240, 112037043, 112017040
241, 112037044, 112017041
242, 112037045, 112017042
243, 112037046, 112017043
244, 88913579, 88893576
245, 149882724, 149862721
246, 149882725, 149862722
247, 163024697, 163004694
248, 126759259, 126739256
249, 163024699, 163004696
250, 126759261, 126739258
251, 126759262, 126739259
252, 126759263, 126739260
253, 126759264, 126739261
254, 126759265, 126739262
255, 126759266, 126739263
256, 139901238, 139881235
257, 163024707, 163004704
258, 139901240, 139881237
259, 141481478, 141461475
260, 115177534, 115157531
261, 115177535, 115157532
262, 115177536, 115157533
263, 106096175, 106076172
264, 106096176, 106076173
265, 106096177, 106076174
266, 106096178, 106076175
267, 106096179, 106076176
268, 104415928, 104395925
269, 104415929, 104395926
270, 104415930, 104395927
271, 104415931, 104395928
272, 104415932, 104395929
273, 104415933, 104395930
274, 134860500, 134840497
275, 104415935, 104395932
276, 129899758, 129879755
277, 133180251, 133160248
278, 133180252, 133160249
279, 120818399, 120798396
280, 119938268, 119918265
281, 133180255, 133160252
282, 149582716, 149562713
283, 131500005, 131480002
284, 131500006, 131480003
285, 119138153, 119118150
286, 131500008, 131480005
287, 119138155, 119118152
288, 119138156, 119118153
289, 131500011, 131480008
290, 147902472, 147882469
291, 133080250, 133060247
292, 135540620, 135520617
293, 135540621, 135520618
294, 146222224, 146202221
295, 129719750, 129699747
296, 133860372, 133840369
297, 133860373, 133840370
298, 133860374, 133840371
299, 133860375, 133840372
300, 133860376, 133840373
301, 146222231, 146202228
302, 146222232, 146202229
303, 147802470, 147782467
304, 147802471, 147782468
305, 151062961, 151042958
306, 151062962, 151042959
307, 149382711, 149362708
308, 126359259, 126339256
309, 151062965, 151042962
310, 149382714, 149362711
311, 111537039, 111517036
312, 104916047, 104896044
313, 111537041, 111517038
314, 124679013, 124659010
315, 149382719, 149362716
316, 149382720, 149362717
317, 149382721, 149362718
318, 149382722, 149362719
319, 149382723, 149362720
320, 149382724, 149362721
321, 149382725, 149362722
322, 126259258, 126239255
323, 126259259, 126239256
324, 126259260, 126239257
325, 126259261, 126239258
326, 164104938, 164084935
327, 164104939, 164084936
328, 140181352, 140161349
329, 149382733, 149362730
330, 154203457, 154183454
331, 164104943, 164084940
332, 131099994, 131079991
333, 131099995, 131079992
334, 145122099, 145102096
335, 164104947, 164084944
336, 164104948, 164084945
337, 91574071, 91554068
338, 129419748, 129399745
339, 136040742, 136020739
340, 143441853, 143421850
341, 143441854, 143421851
342, 134360493, 134340490
343, 134360494, 134340491
344, 134360495, 134340492
345, 134360496, 134340493
346, 103915931, 103895928
347, 103915932, 103895929
348, 103915933, 103895930
349, 103915934, 103895931
350, 103915935, 103895932
351, 103915936, 103895933
352, 103915937, 103895934
353, 103915938, 103895935
354, 103915939, 103895936
355, 131000002, 130979999
356, 131000003, 130980000
357, 131000004, 130980001
358, 118638151, 118618148
359, 118638152, 118618149
360, 118638153, 118618150
361, 118638154, 118618151
362, 118638155, 118618152
363, 118638156, 118618153
364, 118638157, 118618154
365, 118638158, 118618155
366, 118638159, 118618156
367, 131000014, 130980011
368, 147402475, 147382472
369, 147402476, 147382473
370, 114397527, 114377524
371, 37025924, 37005921
372, 145722227, 145702224
373, 145722228, 145702225
374, 145722229, 145702226
375, 133360376, 133340373
376, 133360377, 133340374
377, 133360378, 133340375
378, 97094940, 97074937
379, 97094941, 97074938
380, 88013580, 87993577
381, 88013581, 87993578
382, 88013582, 87993579
383, 88013583, 87993580
384, 160444447, 160424444
385, 160444448, 160424445
386, 125859262, 125839259
387, 86333335, 86313332
388, 86333336, 86313333
389, 148082598, 148062595
390, 142261726, 142241723
391, 142261727, 142241724
392, 148882721, 148862718
393, 148882722, 148862719
394, 148882723, 148862720
395, 162024695, 162004692
396, 140581480, 140561477
397, 150462963, 150442960
398, 140581482, 140561479
399, 140581483, 140561480
400, 163604937, 163584934
401, 163604938, 163584935
402, 162804819, 162784816
403, 101055559, 101035556
404, 138901236, 138881233
405, 163604942, 163584939
406, 156983950, 156963947
407, 163604944, 163584941
408, 117458024, 117438021
409, 165185183, 165165180
410, 168445673, 168425670
411, 168445674, 168425671
412, 168445675, 168425672
413, 182467779, 182447776
414, 166765425, 166745422
415, 115777779, 115757776
416, 128919751, 128899748
417, 166765428, 166745425
