# n=64, modulus d=5, coefficients d=6
# Frobenius number = 14680015, Frobenius root = 9753, Apery max = 14690022
coefficients = [10007, 100003, 110009, 120007, 130003, 140003, 150001, 160001, 170003, 180001, 
                190001, 200003, 210001, 220001, 230003, 240001, 250007, 260003, 270001, 280001, 
                290003, 300001, 310001, 320003, 330001, 340001, 350003, 360001, 370001, 380003, 
                390001, 400009, 410003, 420001, 430001, 440003, 450001, 460001, 470003, 480001, 
                490001, 500009, 510001, 520001, 530003, 540001, 550001, 560003, 570001, 580001, 
                590003, 600001, 610001, 620003, 630001, 640001, 650003, 660001, 670001, 680003, 
                690001, 700001, 800009, 900001]


Residues, Apery set, Zeros
0, 0, 0
1, 14320018, 14310011
2, 14320019, 14310012
3, 14320020, 14310013
4, 14320021, 14310014
5, 14320022, 14310015
6, 14320023, 14310016
7, 14310017, 14300010
8, 14310018, 14300011
9, 14310019, 14300012
10, 14310020, 14300013
11, 14310021, 14300014
12, 14310022, 14300015
13, 14310023, 14300016
14, 14300017, 14290010
15, 14300018, 14290011
16, 14300019, 14290012
17, 14300020, 14290013
18, 14300021, 14290014
19, 14300022, 14290015
20, 14300023, 14290016
21, 14290017, 14280010
22, 14290018, 14280011
23, 14290019, 14280012
24, 14290020, 14280013
25, 14290021, 14280014
26, 14290022, 14280015
27, 14290023, 14280016
28, 14280017, 14270010
29, 14280018, 14270011
30, 14280019, 14270012
31, 14280020, 14270013
32, 14280021, 14270014
33, 14280022, 14270015
34, 14280023, 14270016
35, 14270017, 14260010
36, 14270018, 14260011
37, 14270019, 14260012
38, 14270020, 14260013
39, 14270021, 14260014
40, 14270022, 14260015
41, 14270023, 14260016
42, 14260017, 14250010
43, 14260018, 14250011
44, 14260019, 14250012
45, 14260020, 14250013
46, 14260021, 14250014
47, 14260022, 14250015
48, 14260023, 14250016
49, 14250017, 14240010
50, 14250018, 14240011
51, 14250019, 14240012
52, 14250020, 14240013
53, 14250021, 14240014
54, 14250022, 14240015
55, 14250023, 14240016
56, 14240017, 14230010
57, 14240018, 14230011
58, 14240019, 14230012
59, 14240020, 14230013
60, 14240021, 14230014
61, 14240022, 14230015
62, 14240023, 14230016
63, 14230017, 14220010
64, 14230018, 14220011
65, 14230019, 14220012
66, 14230020, 14220013
67, 14230021, 14220014
68, 14230022, 14220015
69, 14230023, 14220016
70, 14220017, 14210010
71, 14220018, 14210011
72, 14220019, 14210012
73, 14220020, 14210013
74, 14220021, 14210014
75, 14220022, 14210015
76, 14220023, 14210016
77, 14210017, 14200010
78, 14210018, 14200011
79, 14210019, 14200012
80, 14210020, 14200013
81, 14210021, 14200014
82, 14210022, 14200015
83, 14200016, 14190009
84, 14200017, 14190010
85, 14200018, 14190011
86, 14200019, 14190012
87, 14200020, 14190013
88, 14200021, 14190014
89, 14200022, 14190015
90, 14190016, 14180009
91, 14190017, 14180010
92, 14190018, 14180011
93, 14190019, 14180012
94, 14190020, 14180013
95, 14190021, 14180014
96, 14190022, 14180015
97, 14190023, 14180016
98, 14180017, 14170010
99, 14180018, 14170011
100, 14180019, 14170012
101, 14180020, 14170013
102, 14180021, 14170014
103, 14180022, 14170015
104, 14170016, 14160009
105, 14170017, 14160010
106, 14170018, 14160011
107, 14170019, 14160012
108, 14170020, 14160013
109, 14170021, 14160014
110, 14170022, 14160015
111, 14160016, 14150009
112, 14160017, 14150010
113, 14160018, 14150011
114, 14160019, 14150012
115, 14160020, 14150013
116, 14160021, 14150014
117, 14160022, 14150015
118, 14160023, 14150016
