# n=70, modulus d=5, coefficients d=8
# Frobenius number = 411969699, Frobenius root = 11649, Apery max = 412000149
coefficients = [30450, 10000001, 11000003, 12000001, 13000001, 14000011, 15000001, 16000001, 17000003, 18000001, 
                19000001, 20000003, 21000001, 22000001, 23000003, 24000001, 25000001, 26000003, 27000001, 28000001, 
                29000003, 30000001, 31000001, 32000003, 33000001, 34000001, 35000003, 36000001, 37000001, 38000003, 
                39000001, 40000001, 41000003, 42000001, 43000001, 44000003, 45000001, 46000001, 47000003, 48000001, 
                49000001, 50000003, 51000001, 52000001, 53000003, 54000001, 55000001, 56000003, 57000001, 58000001, 
                59000003, 60000001, 61000001, 62000003, 63000001, 64000001, 65000003, 66000001, 67000001, 68000003, 
                69000001, 70000001, 71000003, 72000001, 73000001, 74000003, 75000001, 76000001, 77000003, 99999989]


Residues, Apery set, Zeros
0, 0, 0
1, 270000151, 269969701
2, 270000152, 269969702
3, 270000153, 269969703
4, 270000154, 269969704
5, 270000155, 269969705
6, 270000156, 269969706
7, 270000157, 269969707
8, 270000158, 269969708
9, 270000159, 269969709
10, 270000160, 269969710
11, 270000161, 269969711
12, 270000162, 269969712
13, 270000163, 269969713
14, 270000164, 269969714
15, 270000165, 269969715
16, 270000166, 269969716
17, 270000167, 269969717
18, 270000168, 269969718
19, 270000169, 269969719
20, 270000170, 269969720
21, 270000171, 269969721
22, 270000172, 269969722
23, 270000173, 269969723
24, 270000174, 269969724
25, 270000175, 269969725
26, 270000176, 269969726
27, 270000177, 269969727
28, 270000178, 269969728
29, 270000179, 269969729
30, 270000180, 269969730
31, 270000181, 269969731
32, 270000182, 269969732
33, 270000183, 269969733
34, 270000184, 269969734
35, 383000135, 382969685
36, 270000186, 269969736
37, 383000137, 382969687
38, 383000138, 382969688
39, 270000189, 269969739
40, 112999990, 112969540
41, 270000191, 269969741
42, 383000142, 382969692
43, 383000143, 382969693
44, 270000194, 269969744
45, 383000145, 382969695
46, 383000146, 382969696
47, 383000147, 382969697
48, 383000148, 382969698
49, 270000199, 269969749
50, 383000150, 382969700
51, 383000151, 382969701
52, 113000002, 112969552
53, 113000003, 112969553
54, 113000004, 112969554
55, 113000005, 112969555
56, 113000006, 112969556
57, 113000007, 112969557
58, 113000008, 112969558
59, 113000009, 112969559
60, 113000010, 112969560
61, 113000011, 112969561
62, 113000012, 112969562
63, 113000013, 112969563
64, 113000014, 112969564
65, 113000015, 112969565
66, 113000016, 112969566
67, 113000017, 112969567
68, 113000018, 112969568
69, 113000019, 112969569
70, 113000020, 112969570
71, 113000021, 112969571
72, 113000022, 112969572
73, 113000023, 112969573
74, 113000024, 112969574
75, 113000025, 112969575
76, 113000026, 112969576
77, 113000027, 112969577
78, 113000028, 112969578
79, 113000029, 112969579
80, 113000030, 112969580
81, 113000031, 112969581
82, 113000032, 112969582
83, 113000033, 112969583
84, 113000034, 112969584
85, 113000035, 112969585
86, 113000036, 112969586
87, 113000037, 112969587
88, 113000038, 112969588
89, 113000039, 112969589
90, 113000040, 112969590
91, 113000041, 112969591
92, 113000042, 112969592
93, 113000043, 112969593
94, 113000044, 112969594
95, 113000045, 112969595
96, 113000046, 112969596
97, 113000047, 112969597
98, 113000048, 112969598
99, 113000049, 112969599
100, 113000050, 112969600
101, 113000051, 112969601
102, 113000052, 112969602
103, 113000053, 112969603
104, 113000054, 112969604
105, 113000055, 112969605
106, 113000056, 112969606
107, 113000057, 112969607
108, 113000058, 112969608
109, 113000059, 112969609
110, 113000060, 112969610
111, 113000061, 112969611
112, 113000062, 112969612
113, 226000013, 225969563
114, 226000014, 225969564
115, 113000065, 112969615
116, 226000016, 225969566
117, 226000017, 225969567
118, 113000068, 112969618
119, 113000069, 112969619
120, 113000070, 112969620
121, 226000021, 225969571
122, 226000022, 225969572
123, 226000023, 225969573
124, 226000024, 225969574
125, 226000025, 225969575
126, 226000026, 225969576
127, 226000027, 225969577
128, 113000078, 112969628
129, 226000029, 225969579
130, 226000030, 225969580
131, 226000031, 225969581
132, 226000032, 225969582
133, 226000033, 225969583
134, 226000034, 225969584
135, 226000035, 225969585
136, 226000036, 225969586
137, 226000037, 225969587
138, 226000038, 225969588
139, 226000039, 225969589
140, 226000040, 225969590
141, 226000041, 225969591
142, 226000042, 225969592
143, 226000043, 225969593
144, 226000044, 225969594
145, 226000045, 225969595
146, 226000046, 225969596
147, 226000047, 225969597
148, 226000048, 225969598
149, 226000049, 225969599
150, 226000050, 225969600
151, 226000051, 225969601
152, 226000052, 225969602
153, 226000053, 225969603
154, 226000054, 225969604
155, 226000055, 225969605
156, 226000056, 225969606
157, 226000057, 225969607
158, 226000058, 225969608
159, 226000059, 225969609
160, 226000060, 225969610
161, 226000061, 225969611
162, 226000062, 225969612
163, 226000063, 225969613
164, 226000064, 225969614
165, 226000065, 225969615
166, 226000066, 225969616
167, 226000067, 225969617
168, 226000068, 225969618
169, 226000069, 225969619
170, 226000070, 225969620
171, 226000071, 225969621
172, 226000072, 225969622
173, 226000073, 225969623
174, 226000074, 225969624
175, 226000075, 225969625
176, 226000076, 225969626
177, 226000077, 225969627
178, 226000078, 225969628
179, 226000079, 225969629
180, 226000080, 225969630
181, 226000081, 225969631
182, 226000082, 225969632
183, 226000083, 225969633
184, 226000084, 225969634
185, 226000085, 225969635
186, 226000086, 225969636
187, 226000087, 225969637
188, 226000088, 225969638
189, 226000089, 225969639
190, 226000090, 225969640
191, 226000091, 225969641
192, 226000092, 225969642
193, 226000093, 225969643
194, 226000094, 225969644
195, 226000095, 225969645
196, 226000096, 225969646
197, 226000097, 225969647
198, 226000098, 225969648
199, 226000099, 225969649
200, 226000100, 225969650
201, 226000101, 225969651
202, 226000102, 225969652
203, 226000103, 225969653
204, 226000104, 225969654
205, 226000105, 225969655
206, 226000106, 225969656
207, 226000107, 225969657
208, 226000108, 225969658
209, 226000109, 225969659
210, 226000110, 225969660
211, 226000111, 225969661
212, 226000112, 225969662
213, 226000113, 225969663
214, 226000114, 225969664
215, 226000115, 225969665
216, 226000116, 225969666
217, 226000117, 225969667
218, 226000118, 225969668
219, 226000119, 225969669
220, 226000120, 225969670
221, 226000121, 225969671
222, 226000122, 225969672
223, 226000123, 225969673
224, 226000124, 225969674
225, 226000125, 225969675
226, 226000126, 225969676
227, 226000127, 225969677
228, 226000128, 225969678
229, 226000129, 225969679
230, 226000130, 225969680
231, 226000131, 225969681
232, 226000132, 225969682
233, 226000133, 225969683
234, 226000134, 225969684
235, 226000135, 225969685
236, 226000136, 225969686
237, 226000137, 225969687
238, 226000138, 225969688
239, 226000139, 225969689
240, 226000140, 225969690
241, 226000141, 225969691
242, 226000142, 225969692
243, 226000143, 225969693
244, 339000094, 338969644
245, 226000145, 225969695
246, 226000146, 225969696
247, 226000147, 225969697
248, 226000148, 225969698
249, 226000149, 225969699
250, 226000150, 225969700
251, 226000151, 225969701
252, 339000102, 338969652
253, 339000103, 338969653
254, 339000104, 338969654
255, 226000155, 225969705
256, 226000156, 225969706
257, 226000157, 225969707
258, 226000158, 225969708
259, 339000109, 338969659
260, 339000110, 338969660
261, 339000111, 338969661
262, 339000112, 338969662
263, 339000113, 338969663
264, 339000114, 338969664
265, 339000115, 338969665
266, 226000166, 225969716
267, 339000117, 338969667
268, 339000118, 338969668
269, 339000119, 338969669
270, 339000120, 338969670
