# n=8, modulus d=6, coefficients d=6
# Frobenius number = 4304576, Frobenius root = 4447, Apery max = 4404579
coefficients = [100003, 100007, 123456, 150000, 186432, 200005, 302348, 498123]


Residues, Apery set, Zeros
0, 0, 0
1, 700022, 600019
2, 500017, 400014
3, 300012, 200009
4, 100007, 4
5, 800029, 700026
6, 600024, 500021
7, 400019, 300016
8, 200014, 100011
9, 900036, 800033
10, 700031, 600028
11, 500026, 400023
12, 300021, 200018
13, 1000043, 900040
14, 800038, 700035
15, 600033, 500030
16, 400028, 300025
17, 1100050, 1000047
18, 900045, 800042
19, 700040, 600037
20, 500035, 400032
21, 1200057, 1100054
22, 1000052, 900049
23, 800047, 700044
24, 600042, 500039
25, 1300064, 1200061
26, 1100059, 1000056
27, 900054, 800051
28, 700049, 600046
29, 1400071, 1300068
30, 1200066, 1100063
31, 1000061, 900058
32, 800056, 700053
33, 1500078, 1400075
34, 1300073, 1200070
35, 1100068, 1000065
36, 900063, 800060
37, 1600085, 1500082
38, 1400080, 1300077
39, 1200075, 1100072
40, 1000070, 900067
41, 1700092, 1600089
42, 1500087, 1400084
43, 1300082, 1200079
44, 1100077, 1000074
45, 1800099, 1700096
46, 1600094, 1500091
47, 1400089, 1300086
48, 1200084, 1100081
49, 1900106, 1800103
50, 1700101, 1600098
51, 1500096, 1400093
52, 1300091, 1200088
53, 2000113, 1900110
54, 1800108, 1700105
55, 1600103, 1500100
56, 1400098, 1300095
57, 2100120, 2000117
58, 1900115, 1800112
59, 1700110, 1600107
60, 1500105, 1400102
61, 2200127, 2100124
62, 2000122, 1900119
63, 1800117, 1700114
64, 1600112, 1500109
65, 2100128, 2000125
66, 2100129, 2000126
67, 1900124, 1800121
68, 1700119, 1600116
69, 2200135, 2100132
70, 2200136, 2100133
71, 2000131, 1900128
72, 1800126, 1700123
73, 2300142, 2200139
74, 2300143, 2200140
75, 2100138, 2000135
76, 1900133, 1800130
77, 2400149, 2300146
78, 2400150, 2300147
79, 2200145, 2100142
80, 2000140, 1900137
81, 2500156, 2400153
82, 2500157, 2400154
83, 2300152, 2200149
84, 2100147, 2000144
85, 2600163, 2500160
86, 2600164, 2500161
87, 2400159, 2300156
88, 2200154, 2100151
89, 2700170, 2600167
90, 2700171, 2600168
91, 2500166, 2400163
92, 2300161, 2200158
93, 2800177, 2700174
94, 2800178, 2700175
95, 2600173, 2500170
96, 2400168, 2300165
97, 2900184, 2800181
98, 2900185, 2800182
99, 2700180, 2600177
100, 2500175, 2400172
101, 3000191, 2900188
102, 3000192, 2900189
103, 2800187, 2700184
104, 2600182, 2500179
105, 3100198, 3000195
106, 3100199, 3000196
107, 2900194, 2800191
108, 2700189, 2600186
109, 3200205, 3100202
110, 3200206, 3100203
111, 3000201, 2900198
112, 2800196, 2700193
113, 3300212, 3200209
114, 3100207, 3000204
115, 2900202, 2800199
116, 2900203, 2800200
117, 3400219, 3300216
118, 3200214, 3100211
119, 3000209, 2900206
120, 3000210, 2900207
121, 3200217, 3100214
122, 3000212, 2900209
123, 2800207, 2700204
124, 2600202, 2500199
125, 3300224, 3200221
126, 3100219, 3000216
127, 2900214, 2800211
128, 2700209, 2600206
129, 3100222, 3000219
130, 2900217, 2800214
131, 2700212, 2600209
132, 2500207, 2400204
133, 2300202, 2200199
134, 3000224, 2900221
135, 2800219, 2700216
136, 2600214, 2500211
137, 2400209, 2300206
138, 3100231, 3000228
139, 2900226, 2800223
140, 2700221, 2600218
141, 2500216, 2400213
142, 3200238, 3100235
143, 3000233, 2900230
144, 2800228, 2700225
145, 2600223, 2500220
146, 3300245, 3200242
147, 3100240, 3000237
148, 2900235, 2800232
149, 2700230, 2600227
150, 3400252, 3300249
151, 3200247, 3100244
152, 3000242, 2900239
153, 2800237, 2700234
154, 3500259, 3400256
155, 3300254, 3200251
156, 3100249, 3000246
157, 2900244, 2800241
158, 3600266, 3500263
159, 3400261, 3300258
160, 3200256, 3100253
161, 3000251, 2900248
162, 3700273, 3600270
163, 3500268, 3400265
164, 3300263, 3200260
165, 3100258, 3000255
166, 3800280, 3700277
167, 3600275, 3500272
168, 3400270, 3300267
169, 3200265, 3100262
170, 3900287, 3800284
171, 3700282, 3600279
172, 3500277, 3400274
173, 3300272, 3200269
174, 3900291, 3800288
175, 3700286, 3600283
176, 3500281, 3400278
177, 3300276, 3200273
178, 4000298, 3900295
179, 3800293, 3700290
180, 3600288, 3500285
181, 3400283, 3300280
182, 3800296, 3700293
183, 3600291, 3500288
184, 3400286, 3300283
185, 3200281, 3100278
186, 3000276, 2900273
187, 3700298, 3600295
188, 3500293, 3400290
189, 3300288, 3200285
190, 3100283, 3000280
191, 3500296, 3400293
192, 3300291, 3200288
193, 3100286, 3000283
194, 2900281, 2800278
195, 2700276, 2600273
196, 3400298, 3300295
197, 3200293, 3100290
198, 3000288, 2900285
199, 2800283, 2700280
200, 3200296, 3100293
201, 3000291, 2900288
202, 2800286, 2700283
203, 2600281, 2500278
204, 2400276, 2300273
205, 3100298, 3000295
206, 2900293, 2800290
207, 2700288, 2600285
208, 2500283, 2400280
209, 2900296, 2800293
210, 2700291, 2600288
211, 2500286, 2400283
212, 2300281, 2200278
213, 2100276, 2000273
214, 2800298, 2700295
215, 2600293, 2500290
216, 2400288, 2300285
217, 2200283, 2100280
218, 2600296, 2500293
219, 2400291, 2300288
220, 2200286, 2100283
221, 2000281, 1900278
222, 1800276, 1700273
223, 2500298, 2400295
224, 2300293, 2200290
225, 2100288, 2000285
226, 1900283, 1800280
227, 2600305, 2500302
228, 2400300, 2300297
229, 2200295, 2100292
230, 2000290, 1900287
231, 2700312, 2600309
232, 2500307, 2400304
233, 2300302, 2200299
234, 2100297, 2000294
235, 2800319, 2700316
236, 2600314, 2500311
237, 2400309, 2300306
238, 2200304, 2100301
239, 2900326, 2800323
240, 2700321, 2600318
241, 2500316, 2400313
242, 2300311, 2200308
243, 3000333, 2900330
244, 2800328, 2700325
245, 2600323, 2500320
246, 2400318, 2300315
247, 3100340, 3000337
248, 2900335, 2800332
249, 2700330, 2600327
250, 2500325, 2400322
251, 3200347, 3100344
252, 3000342, 2900339
253, 2800337, 2700334
254, 2600332, 2500329
255, 3300354, 3200351
256, 3100349, 3000346
257, 2900344, 2800341
258, 2700339, 2600336
259, 3400361, 3300358
260, 3200356, 3100353
261, 3000351, 2900348
262, 2800346, 2700343
263, 3400365, 3300362
264, 3200360, 3100357
265, 3000355, 2900352
266, 2900353, 2800350
267, 3100360, 3000357
268, 3300367, 3200364
269, 3100362, 3000359
270, 3000360, 2900357
271, 3200367, 3100364
272, 3100365, 3000362
273, 2900360, 2800357
274, 2700355, 2600352
275, 3300374, 3200371
276, 3200372, 3100369
277, 3000367, 2900364
278, 2800362, 2700359
279, 3200375, 3100372
280, 3000370, 2900367
281, 2800365, 2700362
282, 2600360, 2500357
283, 2400355, 2300352
284, 3100377, 3000374
285, 2900372, 2800369
286, 2700367, 2600364
287, 2500362, 2400359
288, 3200384, 3100381
289, 3000379, 2900376
290, 2800374, 2700371
291, 2600369, 2500366
292, 3300391, 3200388
293, 3100386, 3000383
294, 2900381, 2800378
295, 2700376, 2600373
296, 3400398, 3300395
297, 3200393, 3100390
298, 3000388, 2900385
299, 2800383, 2700380
300, 3500405, 3400402
301, 3300400, 3200397
302, 3100395, 3000392
303, 2900390, 2800387
304, 3600412, 3500409
305, 3400407, 3300404
