# n=12, modulus d=5, coefficients d=5
# Frobenius number = 1312918, Frobenius root = 2001, Apery max = 1322925
coefficients = [10007, 18013, 27011, 36007, 45007, 54001, 63013, 72019, 81001, 90007, 95003, 99989]


0, 0, 0
1, 810568, 800561
2, 90065, 80058
3, 900633, 890626
4, 180130, 170123
5, 990698, 980691
6, 270195, 260188
7, 1080763, 1070756
8, 360260, 350253
9, 1170828, 1160821
10, 450325, 440318
11, 1260893, 1250886
12, 540390, 530383
13, 1310930, 1300923
14, 630455, 620448
15, 1270904, 1260897
16, 720520, 710513
17, 1270906, 1260899
18, 810585, 800578
19, 1260901, 1250894
20, 900650, 890643
21, 1270910, 1260903
22, 990715, 980708
23, 1260905, 1250898
24, 1080780, 1070773
25, 1260907, 1250900
26, 1170845, 1160838
27, 1300937, 1290930
28, 1230889, 1220882
29, 1260911, 1250904
30, 1260912, 1250905
31, 1250906, 1240899
32, 1250907, 1240900
33, 1260915, 1250908
34, 1260916, 1250909
35, 1260917, 1250910
36, 1260918, 1250911
37, 1260919, 1250912
38, 1260920, 1250913
39, 1260921, 1250914
40, 1260922, 1250915
41, 1250916, 1240909
42, 1250917, 1240910
43, 1250918, 1240911
44, 1250919, 1240912
45, 1250920, 1240913
46, 1260928, 1250921
47, 1220901, 1210894
48, 1250923, 1240916
49, 1250924, 1240917
50, 1250925, 1240918
51, 1250926, 1240919
52, 1250927, 1240920
53, 1220907, 1210900
54, 1180880, 1170873
55, 1250930, 1240923
56, 1240924, 1230917
57, 1240925, 1230918
58, 1220912, 1210905
59, 1220913, 1210906
60, 1210907, 1200900
61, 1210908, 1200901
62, 1240930, 1230923
63, 1220917, 1210910
64, 1220918, 1210911
65, 1180891, 1170884
66, 1240934, 1230927
67, 1180893, 1170886
68, 1240936, 1230929
69, 1240937, 1230930
70, 1220924, 1210917
71, 1210918, 1200911
72, 1210919, 1200912
73, 1210920, 1200913
74, 1240942, 1230935
75, 1220929, 1210922
76, 1230937, 1220930
77, 1220931, 1210924
78, 1210925, 1200918
79, 1170898, 1160891
80, 1170899, 1160892
81, 1210928, 1200921
82, 1210929, 1200922
83, 1210930, 1200923
84, 1180910, 1170903
85, 1200925, 1190918
86, 1170905, 1160898
87, 1200927, 1190920
88, 1210935, 1200928
89, 1170908, 1160901
90, 1170909, 1160902
91, 1170910, 1160903
92, 1170911, 1160904
93, 1170912, 1160905
94, 1210941, 1200934
95, 1200935, 1190928
96, 1170915, 1160908
97, 1170916, 1160909
98, 1170917, 1160910
99, 1160911, 1150904
100, 1160912, 1150905
101, 1170920, 1160913
102, 1170921, 1160914
103, 1170922, 1160915
104, 1160916, 1150909
105, 1160917, 1150910
106, 1160918, 1150911
107, 1170926, 1160919
108, 1200948, 1190941
109, 1130900, 1120893
110, 1160922, 1150915
111, 1160923, 1150916
112, 1150917, 1140910
113, 1150918, 1140911
114, 1160926, 1150919
115, 1160927, 1150920
116, 1160928, 1150921
117, 1160929, 1150922
118, 1160930, 1150923
119, 1160931, 1150924
120, 1160932, 1150925
121, 1160933, 1150926
122, 1150927, 1140920
123, 1150928, 1140921
124, 1150929, 1140922
125, 1150930, 1140923
126, 1150931, 1140924
127, 1160939, 1150932
128, 1120912, 1110905
129, 1150934, 1140927
130, 1150935, 1140928
131, 1150936, 1140929
132, 1150937, 1140930
133, 1150938, 1140931
134, 1120918, 1110911
135, 1080891, 1070884
136, 1150941, 1140934
137, 1140935, 1130928
138, 1140936, 1130929
139, 1120923, 1110916
140, 1120924, 1110917
141, 1110918, 1100911
142, 1110919, 1100912
143, 1140941, 1130934
144, 1120928, 1110921
145, 1120929, 1110922
146, 1080902, 1070895
147, 1140945, 1130938
148, 1080904, 1070897
149, 1140947, 1130940
150, 1140948, 1130941
151, 1120935, 1110928
152, 1110929, 1100922
153, 1110930, 1100923
154, 1110931, 1100924
155, 1140953, 1130946
156, 1120940, 1110933
157, 1130948, 1120941
158, 1120942, 1110935
159, 1110936, 1100929
160, 1070909, 1060902
161, 1070910, 1060903
162, 1110939, 1100932
163, 1110940, 1100933
164, 1110941, 1100934
165, 1080921, 1070914
166, 1100936, 1090929
167, 1070916, 1060909
168, 1100938, 1090931
169, 1110946, 1100939
170, 1070919, 1060912
171, 1070920, 1060913
172, 1070921, 1060914
173, 1070922, 1060915
174, 1070923, 1060916
175, 1110952, 1100945
176, 1100946, 1090939
177, 1070926, 1060919
178, 1070927, 1060920
179, 1070928, 1060921
180, 1060922, 1050915
181, 1060923, 1050916
182, 1070931, 1060924
183, 1070932, 1060925
184, 1070933, 1060926
185, 1060927, 1050920
186, 1060928, 1050921
187, 1060929, 1050922
188, 1070937, 1060930
189, 1100959, 1090952
190, 1030911, 1020904
191, 1060933, 1050926
192, 1060934, 1050927
193, 1050928, 1040921
194, 1050929, 1040922
195, 1060937, 1050930
196, 1060938, 1050931
197, 1060939, 1050932
198, 1060940, 1050933
199, 1060941, 1050934
200, 1060942, 1050935
201, 1060943, 1050936
202, 1060944, 1050937
203, 1050938, 1040931
204, 1050939, 1040932
205, 1050940, 1040933
206, 1050941, 1040934
207, 1050942, 1040935
208, 1060950, 1050943
209, 1020923, 1010916
210, 1050945, 1040938
211, 1050946, 1040939
212, 1050947, 1040940
213, 1050948, 1040941
214, 1050949, 1040942
215, 1020929, 1010922
216, 980902, 970895
217, 1050952, 1040945
218, 1040946, 1030939
219, 1040947, 1030940
220, 1020934, 1010927
221, 1020935, 1010928
222, 1010929, 1000922
223, 1010930, 1000923
224, 1040952, 1030945
225, 1020939, 1010932
226, 1020940, 1010933
227, 980913, 970906
228, 1040956, 1030949
229, 980915, 970908
230, 1040958, 1030951
231, 1040959, 1030952
232, 1020946, 1010939
233, 1010940, 1000933
234, 1010941, 1000934
235, 1010942, 1000935
236, 1040964, 1030957
237, 1020951, 1010944
238, 1030959, 1020952
239, 1020953, 1010946
240, 1010947, 1000940
241, 970920, 960913
242, 970921, 960914
243, 1010950, 1000943
244, 1010951, 1000944
245, 1010952, 1000945
246, 980932, 970925
247, 1000947, 990940
248, 970927, 960920
249, 1000949, 990942
250, 1010957, 1000950
251, 970930, 960923
252, 970931, 960924
253, 970932, 960925
254, 970933, 960926
255, 970934, 960927
256, 1010963, 1000956
257, 1000957, 990950
258, 970937, 960930
259, 970938, 960931
260, 970939, 960932
261, 960933, 950926
262, 960934, 950927
263, 970942, 960935
264, 970943, 960936
265, 970944, 960937
266, 960938, 950931
267, 960939, 950932
268, 960940, 950933
269, 970948, 960941
270, 1000970, 990963
271, 930922, 920915
272, 960944, 950937
273, 960945, 950938
274, 950939, 940932
275, 950940, 940933
276, 960948, 950941
277, 960949, 950942
278, 960950, 950943
279, 960951, 950944
280, 960952, 950945
281, 960953, 950946
282, 960954, 950947
283, 960955, 950948
284, 950949, 940942
285, 950950, 940943
286, 950951, 940944
287, 950952, 940945
288, 950953, 940946
289, 960961, 950954
290, 920934, 910927
291, 950956, 940949
292, 950957, 940950
293, 950958, 940951
294, 950959, 940952
295, 950960, 940953
296, 920940, 910933
297, 880913, 870906
298, 950963, 940956
299, 940957, 930950
300, 940958, 930951
301, 920945, 910938
302, 920946, 910939
303, 910940, 900933
304, 910941, 900934
305, 940963, 930956
306, 920950, 910943
307, 920951, 910944
308, 880924, 870917
309, 940967, 930960
310, 880926, 870919
311, 940969, 930962
312, 940970, 930963
313, 920957, 910950
314, 910951, 900944
315, 910952, 900945
316, 910953, 900946
317, 940975, 930968
318, 920962, 910955
319, 930970, 920963
320, 920964, 910957
321, 910958, 900951
322, 870931, 860924
323, 870932, 860925
324, 910961, 900954
325, 910962, 900955
326, 910963, 900956
327, 880943, 870936
328, 900958, 890951
329, 870938, 860931
330, 900960, 890953
331, 910968, 900961
332, 870941, 860934
333, 870942, 860935
334, 870943, 860936
335, 870944, 860937
336, 870945, 860938
337, 910974, 900967
338, 900968, 890961
339, 870948, 860941
340, 870949, 860942
341, 870950, 860943
342, 860944, 850937
343, 860945, 850938
344, 870953, 860946
345, 870954, 860947
346, 870955, 860948
347, 860949, 850942
348, 860950, 850943
349, 860951, 850944
350, 870959, 860952
351, 900981, 890974
352, 830933, 820926
353, 860955, 850948
354, 860956, 850949
355, 850950, 840943
356, 850951, 840944
357, 860959, 850952
358, 860960, 850953
359, 860961, 850954
360, 860962, 850955
361, 860963, 850956
362, 860964, 850957
363, 860965, 850958
364, 860966, 850959
365, 850960, 840953
366, 850961, 840954
367, 850962, 840955
368, 850963, 840956
369, 850964, 840957
370, 860972, 850965
371, 820945, 810938
372, 850967, 840960
373, 850968, 840961
374, 850969, 840962
375, 850970, 840963
