# n=128, modulus d=4, coefficients d=8
# Frobenius number = 1599969163, Frobenius root = 773, Apery max = 1599979136
coefficients = [9973, 99999989, 99999971, 99999959, 99999941, 99999929, 99999917, 99999899, 99999883, 99999863, 
                99999841, 99999827, 99999823, 99999803, 99999781, 99999769, 99999767, 99999757, 99999749, 99999743, 
                99999739, 99999733, 99999707, 99999701, 99999689, 99999679, 99999677, 99999661, 99999653, 99999643, 
                99999623, 99999611, 99999599, 99999587, 99999559, 99999551, 99999541, 99999527, 99999523, 99999491, 
                99999481, 99999469, 99999463, 99999443, 99999437, 99999431, 99999427, 99999403, 99999391, 99999389, 
                99999371, 99999367, 99999359, 99999349, 99999347, 99999329, 99999313, 99999293, 99999281, 99999271, 
                99999269, 99999259, 99999257, 99999253, 99999239, 99999229, 99999221, 99999211, 99999203, 99999197, 
                99999187, 99999163, 99999151, 99999149, 99999139, 99999131, 99999127, 99999119, 99999109, 99999107, 
                99999097, 99999089, 99999079, 99999077, 99999061, 99999059, 99999041, 99999023, 99999019, 99999001, 
                99998993, 99998989, 99998983, 99998969, 99998963, 99998953, 99998947, 99998929, 99998921, 99998911, 
                99998899, 99998893, 99998881, 99998873, 99998867, 99998857, 99998837, 99998831, 99998827, 99998813, 
                99998809, 99998801, 99998791, 99998783, 99998777, 99998771, 99998767, 99998747, 99998741, 99998729, 
                99998713, 99998707, 99998699, 99998687, 99998681, 99998669, 99998657, 99998651]


Residues, Apery set, Zeros
0, 0, 0
1, 1399999768, 1399989795
2, 199998544, 199988571
3, 1499999041, 1499989068
4, 199998546, 199988573
5, 1499999043, 1499989070
6, 199998548, 199988575
7, 1399999774, 1399989801
8, 199998550, 199988577
9, 1499999047, 1499989074
10, 99999281, 99989308
11, 1499999049, 1499989076
12, 199998554, 199988581
13, 1399999780, 1399989807
14, 199998556, 199988583
15, 1499999053, 1499989080
16, 199998558, 199988585
17, 1499999055, 1499989082
18, 199998560, 199988587
19, 1399999786, 1399989813
20, 199998562, 199988589
21, 1499999059, 1499989086
22, 99999293, 99989320
23, 1499999061, 1499989088
24, 199998566, 199988593
25, 1399999792, 1399989819
26, 199998568, 199988595
27, 1499999065, 1499989092
28, 199998570, 199988597
29, 1499999067, 1499989094
30, 199998572, 199988599
31, 1399999798, 1399989825
32, 199998574, 199988601
33, 1499999071, 1499989098
34, 199998576, 199988603
35, 1499999073, 1499989100
36, 199998578, 199988605
37, 1499999075, 1499989102
38, 199998580, 199988607
39, 1499999077, 1499989104
40, 199998582, 199988609
41, 1499999079, 1499989106
42, 99999313, 99989340
43, 1399999810, 1399989837
44, 199998586, 199988613
45, 1499999083, 1499989110
46, 199998588, 199988615
47, 1499999085, 1499989112
48, 199998590, 199988617
49, 1399999816, 1399989843
50, 199998592, 199988619
51, 1499999089, 1499989116
52, 199998594, 199988621
53, 1499999091, 1499989118
54, 199998596, 199988623
55, 1499999093, 1499989120
56, 199998598, 199988625
57, 1499999095, 1499989122
58, 99999329, 99989356
59, 1499999097, 1499989124
60, 199998602, 199988629
61, 1399999828, 1399989855
62, 199998604, 199988631
63, 1499999101, 1499989128
64, 199998606, 199988633
65, 1499999103, 1499989130
66, 199998608, 199988635
67, 1499999105, 1499989132
68, 199998610, 199988637
69, 1499999107, 1499989134
70, 199998612, 199988639
71, 1499999109, 1499989136
72, 199998614, 199988641
73, 1499999111, 1499989138
74, 199998616, 199988643
75, 1499999113, 1499989140
76, 99999347, 99989374
77, 1499999115, 1499989142
78, 99999349, 99989376
79, 1399999846, 1399989873
80, 199998622, 199988649
81, 1499999119, 1499989146
82, 199998624, 199988651
83, 1499999121, 1499989148
84, 199998626, 199988653
85, 1499999123, 1499989150
86, 199998628, 199988655
87, 1499999125, 1499989152
88, 99999359, 99989386
89, 1499999127, 1499989154
90, 199998632, 199988659
91, 1499999129, 1499989156
92, 199998634, 199988661
93, 1499999131, 1499989158
94, 199998636, 199988663
95, 1499999133, 1499989160
96, 99999367, 99989394
97, 1499999135, 1499989162
98, 199998640, 199988667
99, 1499999137, 1499989164
100, 99999371, 99989398
101, 1499999139, 1499989166
102, 199998644, 199988671
103, 1499999141, 1499989168
104, 199998646, 199988673
105, 1499999143, 1499989170
106, 199998648, 199988675
107, 1499999145, 1499989172
108, 199998650, 199988677
109, 1499999147, 1499989174
110, 199998652, 199988679
111, 1499999149, 1499989176
112, 199998654, 199988681
113, 1499999151, 1499989178
114, 199998656, 199988683
115, 1499999153, 1499989180
116, 199998658, 199988685
117, 1499999155, 1499989182
118, 99999389, 99989416
119, 1499999157, 1499989184
120, 99999391, 99989418
121, 1499999159, 1499989186
122, 199998664, 199988691
123, 1499999161, 1499989188
124, 199998666, 199988693
125, 1499999163, 1499989190
126, 199998668, 199988695
127, 1499999165, 1499989192
128, 199998670, 199988697
129, 1499999167, 1499989194
130, 199998672, 199988699
131, 1499999169, 1499989196
132, 99999403, 99989430
133, 1499999171, 1499989198
134, 199998676, 199988703
135, 1499999173, 1499989200
136, 199998678, 199988705
137, 1499999175, 1499989202
138, 199998680, 199988707
139, 1499999177, 1499989204
140, 199998682, 199988709
141, 1499999179, 1499989206
142, 199998684, 199988711
143, 1499999181, 1499989208
144, 199998686, 199988713
145, 1499999183, 1499989210
146, 199998688, 199988715
147, 1499999185, 1499989212
148, 199998690, 199988717
149, 1499999187, 1499989214
150, 199998692, 199988719
151, 1499999189, 1499989216
152, 199998694, 199988721
153, 1499999191, 1499989218
154, 199998696, 199988723
155, 1499999193, 1499989220
156, 99999427, 99989454
157, 1499999195, 1499989222
158, 199998700, 199988727
159, 1499999197, 1499989224
160, 99999431, 99989458
161, 1499999199, 1499989226
162, 199998704, 199988731
163, 1499999201, 1499989228
164, 199998706, 199988733
165, 1499999203, 1499989230
166, 99999437, 99989464
167, 1499999205, 1499989232
168, 199998710, 199988737
169, 1499999207, 1499989234
170, 199998712, 199988739
171, 1499999209, 1499989236
172, 99999443, 99989470
173, 1499999211, 1499989238
174, 199998716, 199988743
175, 1499999213, 1499989240
176, 199998718, 199988745
177, 1499999215, 1499989242
178, 199998720, 199988747
179, 1499999217, 1499989244
180, 199998722, 199988749
181, 1499999219, 1499989246
182, 199998724, 199988751
183, 1499999221, 1499989248
184, 199998726, 199988753
185, 1499999223, 1499989250
186, 199998728, 199988755
187, 1499999225, 1499989252
188, 199998730, 199988757
189, 1499999227, 1499989254
190, 199998732, 199988759
191, 1499999229, 1499989256
192, 99999463, 99989490
193, 1499999231, 1499989258
194, 199998736, 199988763
195, 1499999233, 1499989260
196, 199998738, 199988765
197, 1499999235, 1499989262
198, 99999469, 99989496
199, 1499999237, 1499989264
200, 199998742, 199988769
201, 1499999239, 1499989266
202, 199998744, 199988771
203, 1499999241, 1499989268
204, 199998746, 199988773
205, 1499999243, 1499989270
206, 199998748, 199988775
207, 1499999245, 1499989272
208, 199998750, 199988777
209, 1499999247, 1499989274
210, 99999481, 99989508
211, 1499999249, 1499989276
212, 199998754, 199988781
213, 1499999251, 1499989278
214, 199998756, 199988783
215, 1499999253, 1499989280
216, 199998758, 199988785
217, 1499999255, 1499989282
218, 199998760, 199988787
219, 1499999257, 1499989284
220, 99999491, 99989518
221, 1499999259, 1499989286
222, 199998764, 199988791
223, 1499999261, 1499989288
224, 199998766, 199988793
225, 1499999263, 1499989290
226, 199998768, 199988795
227, 1499999265, 1499989292
228, 199998770, 199988797
229, 1499999267, 1499989294
230, 199998772, 199988799
231, 1499999269, 1499989296
232, 199998774, 199988801
233, 1499999271, 1499989298
234, 199998776, 199988803
235, 1499999273, 1499989300
236, 199998778, 199988805
237, 1499999275, 1499989302
238, 199998780, 199988807
239, 1499999277, 1499989304
240, 199998782, 199988809
241, 1499999279, 1499989306
242, 199998784, 199988811
243, 1499999281, 1499989308
244, 199998786, 199988813
245, 1499999283, 1499989310
246, 199998788, 199988815
247, 1499999285, 1499989312
248, 199998790, 199988817
249, 1499999287, 1499989314
250, 199998792, 199988819
251, 1499999289, 1499989316
252, 99999523, 99989550
253, 1499999291, 1499989318
254, 199998796, 199988823
255, 1499999293, 1499989320
256, 99999527, 99989554
257, 1499999295, 1499989322
258, 199998800, 199988827
259, 1499999297, 1499989324
260, 199998802, 199988829
261, 1499999299, 1499989326
262, 199998804, 199988831
263, 1499999301, 1499989328
264, 199998806, 199988833
265, 1499999303, 1499989330
266, 199998808, 199988835
267, 1499999305, 1499989332
268, 199998810, 199988837
269, 1499999307, 1499989334
270, 99999541, 99989568
271, 1499999309, 1499989336
272, 199998814, 199988841
273, 1499999311, 1499989338
274, 199998816, 199988843
275, 1499999313, 1499989340
276, 199998818, 199988845
277, 1499999315, 1499989342
278, 199998820, 199988847
279, 1499999317, 1499989344
280, 99999551, 99989578
281, 1499999319, 1499989346
282, 199998824, 199988851
283, 1499999321, 1499989348
284, 199998826, 199988853
285, 1499999323, 1499989350
286, 199998828, 199988855
287, 1499999325, 1499989352
288, 99999559, 99989586
289, 1499999327, 1499989354
290, 199998832, 199988859
291, 1499999329, 1499989356
292, 199998834, 199988861
293, 1499999331, 1499989358
294, 199998836, 199988863
295, 1499999333, 1499989360
296, 199998838, 199988865
297, 1499999335, 1499989362
298, 199998840, 199988867
299, 1499999337, 1499989364
300, 199998842, 199988869
301, 1499999339, 1499989366
302, 199998844, 199988871
303, 1499999341, 1499989368
304, 199998846, 199988873
305, 1499999343, 1499989370
306, 199998848, 199988875
307, 1499999345, 1499989372
308, 199998850, 199988877
309, 1499999347, 1499989374
310, 199998852, 199988879
311, 1499999349, 1499989376
312, 199998854, 199988881
313, 1499999351, 1499989378
314, 199998856, 199988883
315, 1499999353, 1499989380
316, 99999587, 99989614
317, 1499999355, 1499989382
318, 199998860, 199988887
319, 1499999357, 1499989384
320, 199998862, 199988889
321, 1499999359, 1499989386
322, 199998864, 199988891
323, 1499999361, 1499989388
324, 199998866, 199988893
325, 1499999363, 1499989390
326, 199998868, 199988895
327, 1499999365, 1499989392
328, 99999599, 99989626
329, 1499999367, 1499989394
330, 199998872, 199988899
331, 1499999369, 1499989396
332, 199998874, 199988901
333, 1499999371, 1499989398
334, 199998876, 199988903
335, 1499999373, 1499989400
336, 199998878, 199988905
337, 1499999375, 1499989402
338, 199998880, 199988907
339, 1499999377, 1499989404
340, 99999611, 99989638
341, 1499999379, 1499989406
342, 199998884, 199988911
343, 1499999381, 1499989408
344, 199998886, 199988913
345, 1499999383, 1499989410
346, 199998888, 199988915
347, 1499999385, 1499989412
348, 199998890, 199988917
349, 1499999387, 1499989414
350, 199998892, 199988919
351, 1499999389, 1499989416
352, 99999623, 99989650
353, 1499999391, 1499989418
354, 199998896, 199988923
355, 1499999393, 1499989420
356, 199998898, 199988925
357, 1499999395, 1499989422
358, 199998900, 199988927
359, 1499999397, 1499989424
360, 199998902, 199988929
361, 1499999399, 1499989426
362, 199998904, 199988931
363, 1499999401, 1499989428
364, 199998906, 199988933
365, 1499999403, 1499989430
366, 199998908, 199988935
367, 1499999405, 1499989432
368, 199998910, 199988937
369, 1499999407, 1499989434
370, 199998912, 199988939
371, 1499999409, 1499989436
372, 99999643, 99989670
373, 1499999411, 1499989438
374, 199998916, 199988943
375, 1499999413, 1499989440
376, 199998918, 199988945
377, 1499999415, 1499989442
378, 199998920, 199988947
379, 1499999417, 1499989444
380, 199998922, 199988949
381, 1499999419, 1499989446
382, 99999653, 99989680
383, 1499999421, 1499989448
384, 199998926, 199988953
385, 1499999423, 1499989450
386, 199998928, 199988955
387, 1499999425, 1499989452
388, 199998930, 199988957
389, 1499999427, 1499989454
390, 99999661, 99989688
391, 1499999429, 1499989456
392, 199998934, 199988961
393, 1499999431, 1499989458
394, 199998936, 199988963
395, 1499999433, 1499989460
396, 199998938, 199988965
397, 1499999435, 1499989462
398, 199998940, 199988967
399, 1499999437, 1499989464
400, 199998942, 199988969
401, 1499999439, 1499989466
402, 199998944, 199988971
403, 1499999441, 1499989468
404, 199998946, 199988973
405, 1499999443, 1499989470
406, 99999677, 99989704
407, 1499999445, 1499989472
408, 99999679, 99989706
409, 1499999447, 1499989474
410, 199998952, 199988979
411, 1499999449, 1499989476
412, 199998954, 199988981
413, 1499999451, 1499989478
414, 199998956, 199988983
415, 1499999453, 1499989480
416, 199998958, 199988985
417, 1499999455, 1499989482
418, 99999689, 99989716
419, 1499999457, 1499989484
420, 199998962, 199988989
421, 1499999459, 1499989486
422, 199998964, 199988991
423, 1499999461, 1499989488
424, 199998966, 199988993
425, 1499999463, 1499989490
426, 199998968, 199988995
427, 1499999465, 1499989492
428, 199998970, 199988997
429, 1499999467, 1499989494
430, 99999701, 99989728
431, 1499999469, 1499989496
432, 199998974, 199989001
433, 1499999471, 1499989498
434, 199998976, 199989003
435, 1499999473, 1499989500
436, 99999707, 99989734
437, 1499999475, 1499989502
438, 199998980, 199989007
439, 1499999477, 1499989504
440, 199998982, 199989009
441, 1499999479, 1499989506
442, 199998984, 199989011
443, 1499999481, 1499989508
444, 199998986, 199989013
445, 1499999483, 1499989510
446, 199998988, 199989015
447, 1499999485, 1499989512
448, 199998990, 199989017
449, 1499999487, 1499989514
