# Frobenius number = 7909005, Frobenius root = 416, Apery max = 7918978
coefficients = [9973, 89989, 89981, 89977, 89969, 89963, 89959, 89951, 89939, 89929, 89923, 
                89917, 89909, 89899, 89891, 89881]

0, 0, 0
1, 3959282, 3949309
2, 7828807, 7818834
3, 3869527, 3859554
4, 7828809, 7818836
5, 3959286, 3949313
6, 7739054, 7729081
7, 3959288, 3949315
8, 7828813, 7818840
9, 3959290, 3949317
10, 7828815, 7818842
11, 3959292, 3949319
12, 7828817, 7818844
13, 3959294, 3949321
14, 7828819, 7818846
15, 3959296, 3949323
16, 7828821, 7818848
17, 3959298, 3949325
18, 7828823, 7818850
19, 3959300, 3949327
20, 7828825, 7818852
21, 3959302, 3949329
22, 7828827, 7818854
23, 3959304, 3949331
24, 7828829, 7818856
25, 3959306, 3949333
26, 7828831, 7818858
27, 3959308, 3949335
28, 7828833, 7818860
29, 3959310, 3949337
30, 7828835, 7818862
31, 3959312, 3949339
32, 7828837, 7818864
33, 3959314, 3949341
34, 7828839, 7818866
35, 3959316, 3949343
36, 7828841, 7818868
37, 3959318, 3949345
38, 7828843, 7818870
39, 3959320, 3949347
40, 7828845, 7818872
41, 3959322, 3949349
42, 7828847, 7818874
43, 3959324, 3949351
44, 7828849, 7818876
45, 3959326, 3949353
46, 7828851, 7818878
47, 3959328, 3949355
48, 7828853, 7818880
49, 3959330, 3949357
50, 7828855, 7818882
51, 3959332, 3949359
52, 7828857, 7818884
53, 3959334, 3949361
54, 7828859, 7818886
55, 3959336, 3949363
56, 7828861, 7818888
57, 3959338, 3949365
58, 7828863, 7818890
59, 3959340, 3949367
60, 7828865, 7818892
61, 3959342, 3949369
62, 7828867, 7818894
63, 3959344, 3949371
64, 7828869, 7818896
65, 3959346, 3949373
66, 7828871, 7818898
67, 3959348, 3949375
68, 7828873, 7818900
69, 3959350, 3949377
70, 7828875, 7818902
71, 3959352, 3949379
72, 7828877, 7818904
73, 3959354, 3949381
74, 7828879, 7818906
75, 3959356, 3949383
76, 7828881, 7818908
77, 3959358, 3949385
78, 7828883, 7818910
79, 3959360, 3949387
80, 7828885, 7818912
81, 3959362, 3949389
82, 7828887, 7818914
83, 3959364, 3949391
84, 7828889, 7818916
85, 3959366, 3949393
86, 7828891, 7818918
87, 3959368, 3949395
88, 7828893, 7818920
89, 3959370, 3949397
90, 7828895, 7818922
91, 3959372, 3949399
92, 7828897, 7818924
93, 3959374, 3949401
94, 7828899, 7818926
95, 3959376, 3949403
96, 7828901, 7818928
97, 3959378, 3949405
98, 7828903, 7818930
99, 3959380, 3949407
100, 7828905, 7818932
101, 3959382, 3949409
102, 7828907, 7818934
103, 3959384, 3949411
104, 7828909, 7818936
105, 3959386, 3949413
106, 7828911, 7818938
107, 3959388, 3949415
108, 7828913, 7818940
109, 3959390, 3949417
110, 7828915, 7818942
111, 3959392, 3949419
112, 7828917, 7818944
113, 3959394, 3949421
114, 7828919, 7818946
115, 3959396, 3949423
116, 7828921, 7818948
117, 3959398, 3949425
118, 7828923, 7818950
119, 3959400, 3949427
120, 7828925, 7818952
121, 3959402, 3949429
122, 7828927, 7818954
123, 3959404, 3949431
124, 89881, 79908
125, 3959406, 3949433
126, 7828931, 7818958
127, 3959408, 3949435
128, 7828933, 7818960
129, 3959410, 3949437
130, 7828935, 7818962
131, 3959412, 3949439
132, 7828937, 7818964
133, 3959414, 3949441
134, 89891, 79918
135, 3959416, 3949443
136, 7828941, 7818968
137, 3959418, 3949445
138, 7828943, 7818970
139, 3959420, 3949447
140, 7828945, 7818972
141, 3959422, 3949449
142, 89899, 79926
143, 3959424, 3949451
144, 7828949, 7818976
145, 3959426, 3949453
146, 7828951, 7818978
147, 3959428, 3949455
148, 7828953, 7818980
149, 3959430, 3949457
150, 7828955, 7818982
151, 3959432, 3949459
152, 89909, 79936
153, 3959434, 3949461
154, 7828959, 7818986
155, 3959436, 3949463
156, 7828961, 7818988
157, 3959438, 3949465
158, 7828963, 7818990
159, 3959440, 3949467
160, 89917, 79944
161, 3959442, 3949469
162, 7828967, 7818994
163, 3959444, 3949471
164, 7828969, 7818996
165, 3959446, 3949473
166, 89923, 79950
167, 3959448, 3949475
168, 7828973, 7819000
169, 3959450, 3949477
170, 7828975, 7819002
171, 3959452, 3949479
172, 89929, 79956
173, 3959454, 3949481
174, 7828979, 7819006
175, 3959456, 3949483
176, 7828981, 7819008
177, 3959458, 3949485
178, 7828983, 7819010
179, 3959460, 3949487
180, 7828985, 7819012
181, 3959462, 3949489
182, 89939, 79966
183, 3959464, 3949491
184, 7828989, 7819016
185, 3959466, 3949493
186, 7828991, 7819018
187, 3959468, 3949495
188, 7828993, 7819020
189, 3959470, 3949497
190, 7828995, 7819022
191, 3959472, 3949499
192, 7828997, 7819024
193, 3959474, 3949501
194, 89951, 79978
195, 3959476, 3949503
196, 7829001, 7819028
197, 3959478, 3949505
198, 7829003, 7819030
199, 3959480, 3949507
200, 7829005, 7819032
201, 3959482, 3949509
202, 89959, 79986
203, 3959484, 3949511
204, 7829009, 7819036
205, 3959486, 3949513
206, 89963, 79990
207, 3959488, 3949515
208, 7829013, 7819040
209, 3959490, 3949517
210, 7829015, 7819042
211, 3959492, 3949519
212, 89969, 79996
213, 4049251, 4039278
214, 7829019, 7819046
215, 3959496, 3949523
216, 7918778, 7908805
217, 4049255, 4039282
218, 7829023, 7819050
219, 3959500, 3949527
220, 89977, 80004
221, 4049259, 4039286
222, 7829027, 7819054
223, 3959504, 3949531
224, 89981, 80008
225, 4049263, 4039290
226, 7829031, 7819058
227, 3959508, 3949535
228, 7918790, 7908817
229, 4049267, 4039294
230, 7829035, 7819062
231, 4049269, 4039296
232, 89989, 80016
233, 4049271, 4039298
234, 7918796, 7908823
235, 3959516, 3949543
236, 7918798, 7908825
237, 4049275, 4039302
238, 7829043, 7819070
239, 4049277, 4039304
240, 7918802, 7908829
241, 4049279, 4039306
242, 7918804, 7908831
243, 4049281, 4039308
244, 7918806, 7908833
245, 4049283, 4039310
246, 7918808, 7908835
247, 4049285, 4039312
248, 179762, 169789
249, 4049287, 4039314
250, 7918812, 7908839
251, 4049289, 4039316
252, 7918814, 7908841
253, 4049291, 4039318
254, 7918816, 7908843
255, 4049293, 4039320
256, 7918818, 7908845
257, 4049295, 4039322
258, 179772, 169799
259, 4049297, 4039324
260, 7918822, 7908849
261, 4049299, 4039326
262, 7918824, 7908851
263, 4049301, 4039328
264, 7918826, 7908853
265, 4049303, 4039330
266, 179780, 169807
267, 4049305, 4039332
268, 179782, 169809
269, 4049307, 4039334
270, 7918832, 7908859
271, 4049309, 4039336
272, 7918834, 7908861
273, 4049311, 4039338
274, 7918836, 7908863
275, 4049313, 4039340
276, 179790, 169817
277, 4049315, 4039342
278, 7918840, 7908867
279, 4049317, 4039344
280, 7918842, 7908869
281, 4049319, 4039346
282, 7918844, 7908871
283, 4049321, 4039348
284, 179798, 169825
285, 4049323, 4039350
286, 179800, 169827
287, 4049325, 4039352
288, 7918850, 7908877
289, 4049327, 4039354
290, 179804, 169831
291, 4049329, 4039356
292, 7918854, 7908881
293, 4049331, 4039358
294, 179808, 169835
295, 4049333, 4039360
296, 179810, 169837
297, 4049335, 4039362
298, 7918860, 7908887
299, 4049337, 4039364
300, 179814, 169841
301, 4049339, 4039366
302, 179816, 169843
303, 4049341, 4039368
304, 179818, 169845
305, 4049343, 4039370
306, 179820, 169847
307, 4049345, 4039372
308, 179822, 169849
309, 4049347, 4039374
310, 7918872, 7908899
311, 4049349, 4039376
312, 179826, 169853
313, 4049351, 4039378
314, 179828, 169855
